parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B314.KV1_VMM21_V,B313.KV1_VMM22_V,hasSubMeter,,,,excel_formula_B314
B327.KV1_VMM21_V,B326.KV1_VMM21,hasSubMeter,,,,excel_formula_B327
B334.KV1_VMM21,B330.KV1_VMM23_V,hasSubMeter,,,,excel_formula_B334
B339.KV1_VMM23_V,B318.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B339
B207.KV1_VMM21,B202.KV1_VMM22_V,hasSubMeter,,,,excel_formula_B202
B207.KV1_VMM21,B201.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B202
B302.KV1_VMM22_V,B302.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B302
B302.KV1_VMM22_V,B301.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B302
B305.KV1_VMM22_V,B305.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B305
B305.KV1_VMM22_V,B302.KV1_VMM23_V,hasSubMeter,,,,excel_formula_B305
B307.KV1_VMM21_V,B344.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B307
B307.KV1_VMM21_V,B342.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B307
B318.KV1_VMM21_V,B353.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B318
B318.KV1_VMM21_V,B319.KV1_VMM21,hasSubMeter,,,,excel_formula_B318
B207.KV1_VMM22,B207.KV1_VMM21,hasSubMeter,,,,excel_formula_B207
B207.KV1_VMM22,B216.KV1_VMM21,hasSubMeter,,,,excel_formula_B207
B207.KV1_VMM22,B217.KV1_VMM24_V,hasSubMeter,,,,excel_formula_B207
B310.KV1_VMM23_V,B315.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B310
B310.KV1_VMM23_V,B314.KV1_VMM22_V,hasSubMeter,,,,excel_formula_B310
B311.KV1_VMM26_V,B317.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B317.KV1_VMM22_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B317.KV1_VMM23_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B317.KV1_VMM25_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B311.KV1_VMM27_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B337.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B381.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B310.KV1_VMM20_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B310.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B310.KV1_VMM22_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B310.KV1_VMM23_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B310.KV1_VMM24_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B310.KV1_VMM27_V,hasSubMeter,,,,excel_formula_B311
B311.KV1_VMM26_V,B313.KV1_VMM21_V,hasSubMeter,,,,excel_formula_B311
