meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B201.KV1_VMM21_V,201 KALLVATTEN meter KV1_VMM21_V,B201,KALLVATTEN,False,snowflake=B201.KV1_VM21_V; strux=B201.KV1_VM21_V,,
B207.KV1_VMM21,202 KALLVATTEN meter KV1_VMM21,B202,KALLVATTEN,False,snowflake=B207.KV1_VM21; strux=B207.KV1_VM21,,
B203.KV1_VMM22_V,202 KALLVATTEN meter KV1_VMM22_V,B202,KALLVATTEN,False,snowflake=B203.KV1_VM22_V; strux=B203.KV1_VM22_V,,
B202.KV1_VMM21_V,202 KALLVATTEN meter KV1_VMM21_V,B202,KALLVATTEN,False,snowflake=B202.KV1_VM21_V; strux=B202.KV1_VM21_V,,
B202.KV1_VMM22_V, KALLVATTEN meter KV1_VMM22_V,,KALLVATTEN,False,snowflake=B202.KV1_VM22_V; strux=B202.KV1_VM22_V,,
B203.KV1_VMM21_V,203 KALLVATTEN meter KV1_VMM21_V,B203,KALLVATTEN,False,snowflake=B203.KV1_VM21_V; strux=B203.KV1_VM21_V,,
B204.KV1_VMM22_V,204 KALLVATTEN meter KV1_VMM22_V,B204,KALLVATTEN,False,snowflake=B204.KV1_VM22_V; strux=B204.KV1_VM22_V,,
B207.KV1_VMM22,207 KALLVATTEN meter KV1_VMM22,B207,KALLVATTEN,False,snowflake=B207.KV1_VM22; strux=B207.KV1_VM22,,
B216.KV1_VMM21,216 KALLVATTEN meter KV1_VMM21,B216,KALLVATTEN,False,snowflake=B216.KV1_VM21; strux=B216.KV1_VM21,,
B217.KV1_VMM24_V,217 KALLVATTEN meter KV1_VMM24_V,B217,KALLVATTEN,False,snowflake=B217.KV1_VM24_V; strux=B217.KV1_VM24_V,,
B209.KV1_VMM21_V,209 KALLVATTEN meter KV1_VMM21_V,B209,KALLVATTEN,False,snowflake=B209.KV1_VM21_V; strux=B209.KV1_VM21_V,,
B301.KV1_VMM21_V,301 KALLVATTEN meter KV1_VMM21_V,B301,KALLVATTEN,False,snowflake=B301.KV1_VM21_V; strux=B301.KV1_VM21_V,,
B302.KV1_VMM22_V,302 KALLVATTEN meter KV1_VMM22_V,B302,KALLVATTEN,False,snowflake=B302.KV1_VM22_V; strux=B302.KV1_VM22_V,,
B302.KV1_VMM23_V,302 KALLVATTEN meter KV1_VMM23_V,B302,KALLVATTEN,False,snowflake=B302.KV1_VM23_V; strux=B302.KV1_VM23_V,,2025-01-01
