sensor_id,meter_id,point_type,unit,identifier
B201.KV1_VMM21_V.energy,B201.KV1_VMM21_V,Energy_Sensor,M3,
B207.KV1_VMM21.energy,B207.KV1_VMM21,Energy_Sensor,M3,
B203.KV1_VMM22_V.energy,B203.KV1_VMM22_V,Energy_Sensor,M3,
B202.KV1_VMM21_V.energy,B202.KV1_VMM21_V,Energy_Sensor,M3,
B202.KV1_VMM22_V.energy,B202.KV1_VMM22_V,Energy_Sensor,M3,
B203.KV1_VMM21_V.energy,B203.KV1_VMM21_V,Energy_Sensor,M3,
B204.KV1_VMM22_V.energy,B204.KV1_VMM22_V,Energy_Sensor,M3,
B207.KV1_VMM22.energy,B207.KV1_VMM22,Energy_Sensor,M3,
B216.KV1_VMM21.energy,B216.KV1_VMM21,Energy_Sensor,M3,
B217.KV1_VMM24_V.energy,B217.KV1_VMM24_V,Energy_Sensor,M3,
B209.KV1_VMM21_V.energy,B209.KV1_VMM21_V,Energy_Sensor,M3,
B301.KV1_VMM21_V.energy,B301.KV1_VMM21_V,Energy_Sensor,M3,
B302.KV1_VMM22_V.energy,B302.KV1_VMM22_V,Energy_Sensor,M3,
B302.KV1_VMM23_V.energy,B302.KV1_VMM23_V,Energy_Sensor,M3,
B302.KV1_VMM21_V.energy,B302.KV1_VMM21_V,Energy_Sensor,M3,
B303.KV1_VMM21_V.energy,B303.KV1_VMM21_V,Energy_Sensor,M3,
B304.KV1_VMM21_V.energy,B304.KV1_VMM21_V,Energy_Sensor,M3,
B304.KV1_VMM22_V.energy,B304.KV1_VMM22_V,Energy_Sensor,M3,
B304.KV1_VMM23_V.energy,B304.KV1_VMM23_V,Energy_Sensor,M3,
B305.KV1_VMM22_V.energy,B305.KV1_VMM22_V,Energy_Sensor,M3,
B305.KV1_VMM23_V.energy,B305.KV1_VMM23_V,Energy_Sensor,M3,
B305.KV1_VMM21_V.energy,B305.KV1_VMM21_V,Energy_Sensor,M3,
B307.KV1_VMM21_V.energy,B307.KV1_VMM21_V,Energy_Sensor,M3,
B344.KV1_VMM21_V.energy,B344.KV1_VMM21_V,Energy_Sensor,M3,
B342.KV1_VMM21_V.energy,B342.KV1_VMM21_V,Energy_Sensor,M3,
B308.KV1_VMM21_V.energy,B308.KV1_VMM21_V,Energy_Sensor,M3,
B308.KV1_VMM23_V.energy,B308.KV1_VMM23_V,Energy_Sensor,M3,
B310.KV1_VMM23_V.energy,B310.KV1_VMM23_V,Energy_Sensor,M3,
B310.KV1_VMM27_V.energy,B310.KV1_VMM27_V,Energy_Sensor,M3,
B310.KV1_VMM20_V.energy,B310.KV1_VMM20_V,Energy_Sensor,M3,
B310.KV1_VMM22_V.energy,B310.KV1_VMM22_V,Energy_Sensor,M3,
B310.KV1_VMM21_V.energy,B310.KV1_VMM21_V,Energy_Sensor,M3,
B315.KV1_VMM21_V.energy,B315.KV1_VMM21_V,Energy_Sensor,M3,
B313.KV1_VMM22_V.energy,B313.KV1_VMM22_V,Energy_Sensor,M3,
B314.KV1_VMM22_V.energy,B314.KV1_VMM22_V,Energy_Sensor,M3,
B311.KV1_VMM26_V.energy,B311.KV1_VMM26_V,Energy_Sensor,M3,
B317.KV1_VMM21_V.energy,B317.KV1_VMM21_V,Energy_Sensor,M3,
B317.KV1_VMM22_V.energy,B317.KV1_VMM22_V,Energy_Sensor,M3,
B317.KV1_VMM23_V.energy,B317.KV1_VMM23_V,Energy_Sensor,M3,
B317.KV1_VMM25_V.energy,B317.KV1_VMM25_V,Energy_Sensor,M3,
B311.KV1_VMM27_V.energy,B311.KV1_VMM27_V,Energy_Sensor,M3,
B337.KV1_VMM21_V.energy,B337.KV1_VMM21_V,Energy_Sensor,M3,
B381.KV1_VMM21_V.energy,B381.KV1_VMM21_V,Energy_Sensor,M3,
B310.KV1_VMM24_V.energy,B310.KV1_VMM24_V,Energy_Sensor,M3,
B313.KV1_VMM21_V.energy,B313.KV1_VMM21_V,Energy_Sensor,M3,
B312.KV1_VMM21_V.energy,B312.KV1_VMM21_V,Energy_Sensor,M3,
B314.KV1_VMM21_V.energy,B314.KV1_VMM21_V,Energy_Sensor,M3,
B318.KV1_VMM21_V.energy,B318.KV1_VMM21_V,Energy_Sensor,M3,
B353.KV1_VMM21_V.energy,B353.KV1_VMM21_V,Energy_Sensor,M3,
B319.KV1_VMM21.energy,B319.KV1_VMM21,Energy_Sensor,M3,
B325.KV1_VMM23_V.energy,B325.KV1_VMM23_V,Energy_Sensor,M3,
B326.KV1_VMM21.energy,B326.KV1_VMM21,Energy_Sensor,M3,
B327.KV1_VMM21_V.energy,B327.KV1_VMM21_V,Energy_Sensor,M3,
B330.KV1_VMM23_V.energy,B330.KV1_VMM23_V,Energy_Sensor,M3,
B334.KV1_VMM21.energy,B334.KV1_VMM21,Energy_Sensor,M3,
B337.KV1_VMM22_V.energy,B337.KV1_VMM22_V,Energy_Sensor,M3,
B339.KV1_VMM23_V.energy,B339.KV1_VMM23_V,Energy_Sensor,M3,
B341.KV1_VMM21_V.energy,B341.KV1_VMM21_V,Energy_Sensor,M3,
B385.KV1_VMM21_V.energy,B385.KV1_VMM21_V,Energy_Sensor,M3,
B389.BRV1_VMM21.energy,B389.BRV1_VMM21,Energy_Sensor,M3,
B392.KV1_VMM21.energy,B392.KV1_VMM21,Energy_Sensor,M3,
B392.KV1_VMM22.energy,B392.KV1_VMM22,Energy_Sensor,M3,
B420.KV1_VMM21_V.energy,B420.KV1_VMM21_V,Energy_Sensor,M3,
B217.KV1_VMM001.energy,B217.KV1_VMM001,Energy_Sensor,M3,
B217.KV1_VMM002.energy,B217.KV1_VMM002,Energy_Sensor,M3,
B390.KV1_VMM25_V.energy,B390.KV1_VMM25_V,Energy_Sensor,M3,
B409.KV1_VMM21.energy,B409.KV1_VMM21,Energy_Sensor,M3,
