timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B201.KV1_VMM21_V:d,B201.KV1_VMM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B201.KV1_VM21_V,,,
B207.KV1_VMM21:d,B207.KV1_VMM21.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.KV1_VM21,,,
B203.KV1_VMM22_V:d,B203.KV1_VMM22_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B203.KV1_VM22_V,,,
B202.KV1_VMM21_V:d,B202.KV1_VMM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B202.KV1_VM21_V,,,
B202.KV1_VMM22_V:d,B202.KV1_VMM22_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B202.KV1_VM22_V,,,
B203.KV1_VMM21_V:d,B203.KV1_VMM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B203.KV1_VM21_V,,,
B204.KV1_VMM22_V:d,B204.KV1_VMM22_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B204.KV1_VM22_V,,,
B207.KV1_VMM22:d,B207.KV1_VMM22.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.KV1_VM22,,,
B216.KV1_VMM21:d,B216.KV1_VMM21.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B216.KV1_VM21,,,
B217.KV1_VMM24_V:d,B217.KV1_VMM24_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B217.KV1_VM24_V,,,
B209.KV1_VMM21_V:d,B209.KV1_VMM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.KV1_VM21_V,,,
B301.KV1_VMM21_V:d,B301.KV1_VMM21_V.energy,daily,counter,raw,True,,2026-01-14,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B301.KV1_VM21_V,,,
B302.KV1_VMM22_V:d,B302.KV1_VMM22_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.KV1_VM22_V,,,
B302.KV1_VMM23_V:d,B302.KV1_VMM23_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.KV1_VM23_V,,,
B302.KV1_VMM21_V:d.A,B302.KV1_VMM21_V.energy,daily,counter,raw,False,,2025-01-09,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.KV1_VM21_V,,,
B302.KV1_VMM21_V:d.B,B302.KV1_VMM21_V.energy,daily,counter,raw,False,2025-01-09,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.KV1_VM21_V,,,
B302.KV1_VMM21_V:d,B302.KV1_VMM21_V.energy,daily,counter,derived,True,,,,,,,B302.KV1_VMM21_V:d.A|B302.KV1_VMM21_V:d.B,rolling_sum
B303.KV1_VMM21_V:d,B303.KV1_VMM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B303.KV1_VM21_V,,,
B304.KV1_VMM21_V:d,B304.KV1_VMM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B304.KV1_VM21_V,,,
