building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,coefficient,n_terms
201,8,S,+,add,B201.KB1_Elogg,B201.KB1_Elogg,1.0,6
202,9,S,+,add,B202.VENT,B202.VENT,1.0,6
203,10,S,+,add,B203.KB1,B203.KB1,1.0,6
203,10,T,+,add,B203.KB5-Intverk,B203.KB5-Intverk,1.0,6
207,13,S,+,add,B207.VENT,B207.VENT,1.0,6
209,14,S,+,add,B209.KB1,B209.KB1,1.0,6
209,14,T,+,add,B209.KB4_VMM51,B209.KB4_VMM51,1.0,6
209,14,U,+,add,B209.KB6_VMM51,B209.KB6_VMM51,1.0,6
216,15,S,+,add,B216.KB1,B216.KB1,1.0,6
216,15,T,+,add,B216.VENT,B216.VENT,1.0,6
217,16,S,+,add,B217.KB1,B217.KB1,1.0,6
302,19,S,+,add,B304.KB2,B304.KB2,0.5,6
303,20,S,+,add,B304.KB2,B304.KB2,0.5,6
304,21,S,+,add,B304.KB1,B304.KB1,1.0,6
305,22,S,+,add,B305.KB1,B305.KB1,1.0,6
305,22,T,+,add,B307.KB1,B307.KB1,0.5,6
307,23,S,+,add,B307.KB1_VM52_E,B307.KB1_VMM52,1.0,6
307,23,T,+,add,B307.KB1,B307.KB1,0.5,6
308,24,S,+,add,B308.KB1,B308.KB1,1.0,6
312,28,S,+,add,B312.KB1,B312.KB1,1.0,6
318,34,S,+,add,B318.KB1,B318.KB1,1.0,6
327,42,S,+,add,B327.KB1,B327.KB1,1.0,6
330,44,S,+,add,B331.KB1_VM51_E,B331.KB1_VMM51,1.0,6
339,48,S,+,add,B339.KB1_INT_VERK1,B339.KB1_INT_VERK1,1.0,6
339,48,T,+,add,B339.KB1_VVS,B339.KB1_VVS,1.0,6
339,49,S,+,add,B339.KB1_KOLF,B339.KB1_KOLF,1.0,6
341,50,S,+,add,B341.KB1,B341.KB1,1.0,6
392,73,S,+,add,B392.KB1_VM51_E,B392.KB1_VMM51,1.0,6
212,77,S,+,add,B212.KB5,B212.KB5,1.0,6
336,78,S,+,add,B336.KB1,B336.KB1,1.0,6
