meter_id,building,meter_type
B201.KB1_Elogg,201,real
B202.VENT,202,real
B203.KB1,203,real
B203.KB5-Intverk,203,real
B207.VENT,207,real
B209.KB1,209,real
B209.KB4_VMM51,209,real
B209.KB6_VMM51,209,real
B216.KB1,216,real
B216.VENT,216,real
B217.KB1,217,real
B304.KB2,,real
B304.KB1,304,real
B305.KB1,,real
B307.KB1,,real
B307.KB1_VMM52,,real
B308.KB1,308,real
B312.KB1,312,real
B318.KB1,318,real
B327.KB1,327,real
B331.KB1_VMM51,330,real
B339.KB1_INT_VERK1,339,real
B339.KB1_VVS,339,real
B339.KB1_KOLF,339,real
B341.KB1,341,real
B392.KB1_VMM51,392,real
B212.KB5,212,real
B336.KB1,336,real
B201.KYLA_BUILDING,201,virtual
B202.KYLA_BUILDING,202,virtual
B203.KYLA_BUILDING,203,virtual
B207.KYLA_BUILDING,207,virtual
B209.KYLA_BUILDING,209,virtual
B212.KYLA_BUILDING,212,virtual
B216.KYLA_BUILDING,216,virtual
B217.KYLA_BUILDING,217,virtual
B302.KYLA_BUILDING,302,virtual
B303.KYLA_BUILDING,303,virtual
B304.KYLA_BUILDING,304,virtual
B305.KYLA_BUILDING,305,virtual
B307.KYLA_BUILDING,307,virtual
B308.KYLA_BUILDING,308,virtual
B312.KYLA_BUILDING,312,virtual
B318.KYLA_BUILDING,318,virtual
B327.KYLA_BUILDING,327,virtual
B330.KYLA_BUILDING,330,virtual
B336.KYLA_BUILDING,336,virtual
B339.KYLA_BUILDING,339,virtual
B341.KYLA_BUILDING,341,virtual
B392.KYLA_BUILDING,392,virtual
B302.KYLA_VIRT,302,virtual
B303.KYLA_VIRT,303,virtual
B305.KYLA_VIRT,305,virtual
B307.KYLA_VIRT,307,virtual
