building_id,name,campus_id,identifier
B201,Building 201,SNV,
B202,Building 202,SNV,
B203,Building 203,SNV,
B207,Building 207,SNV,
B209,Building 209,SNV,
B212,Building 212,SNV,
B216,Building 216,SNV,
B217,Building 217,SNV,
B302,Building 302,SNV,
B303,Building 303,SNV,
B304,Building 304,SNV,
B305,Building 305,SNV,
B307,Building 307,SNV,
B308,Building 308,SNV,
B312,Building 312,SNV,
B318,Building 318,SNV,
B327,Building 327,SNV,
B330,Building 330,SNV,
B336,Building 336,SNV,
B339,Building 339,SNV,
B341,Building 341,SNV,
B392,Building 392,SNV,
