media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
KYLA,B201,2026-01,0.20,0.20,0.00,match,
KYLA,B201,2026-02,0.20,0.20,0.00,match,
KYLA,B202,2026-01,0.00,0.00,0.00,match,
KYLA,B202,2026-02,0.00,0.00,0.00,match,
KYLA,B203,2026-01,0.00,0.00,0.00,match,
KYLA,B203,2026-02,0.00,0.00,0.00,match,
KYLA,B204,2026-01,0.00,0.00,0.00,match,
KYLA,B204,2026-02,0.00,0.00,0.00,match,
KYLA,B205,2026-01,0.00,0.00,0.00,match,
KYLA,B207,2026-01,0.00,0.00,0.00,match,
KYLA,B207,2026-02,0.10,0.10,0.00,match,
KYLA,B209,2026-01,12.07,12.07,0.00,match,
KYLA,B209,2026-02,10.42,10.42,0.00,match,
KYLA,B212,2026-01,110.27,110.27,0.00,match,
KYLA,B212,2026-02,101.36,101.36,0.00,match,
KYLA,B216,2026-01,19.70,19.70,0.00,match,
KYLA,B216,2026-02,18.40,18.40,0.00,match,
KYLA,B217,2026-01,18.90,18.90,0.00,match,
KYLA,B217,2026-02,15.40,15.40,0.00,match,
KYLA,B228,2026-01,0.00,0.00,0.00,match,
KYLA,B228,2026-02,0.00,0.00,0.00,match,
KYLA,B301,2026-01,0.00,0.00,0.00,match,
KYLA,B301,2026-02,0.00,0.00,0.00,match,
KYLA,B302,2026-01,5.75,5.75,0.00,match,
KYLA,B302,2026-02,4.75,4.75,0.00,match,
KYLA,B303,2026-01,5.75,5.75,0.00,match,
KYLA,B303,2026-02,4.75,4.75,0.00,match,
KYLA,B304,2026-01,0.60,0.60,0.00,match,
KYLA,B304,2026-02,0.40,0.40,0.00,match,
KYLA,B305,2026-01,6.60,6.60,0.00,match,
KYLA,B305,2026-02,3.85,3.85,0.00,match,
KYLA,B307,2026-01,81.17,81.17,0.00,match,
KYLA,B307,2026-02,87.52,87.52,0.00,match,
KYLA,B308,2026-01,31.10,31.10,0.00,match,
KYLA,B308,2026-02,27.20,27.20,0.00,match,
KYLA,B309,2026-01,0.00,0.00,0.00,match,
KYLA,B309,2026-02,0.00,0.00,0.00,match,
KYLA,B310,2026-01,0.00,0.00,0.00,match,
KYLA,B310,2026-02,0.00,0.00,0.00,match,
KYLA,B311,2026-01,0.00,0.00,0.00,match,
KYLA,B311,2026-02,0.00,0.00,0.00,match,
KYLA,B312,2026-01,0.00,0.00,0.00,match,
KYLA,B312,2026-02,0.00,0.00,0.00,match,
KYLA,B313,2026-01,0.00,0.00,0.00,match,
KYLA,B313,2026-02,0.00,0.00,0.00,match,
KYLA,B314,2026-01,0.00,0.00,0.00,match,
KYLA,B314,2026-02,0.00,0.00,0.00,match,
KYLA,B315,2026-01,0.00,0.00,0.00,match,
KYLA,B315,2026-02,0.00,0.00,0.00,match,
KYLA,B316,2026-01,0.00,0.00,0.00,match,
KYLA,B316,2026-02,0.00,0.00,0.00,match,
KYLA,B317,2026-01,0.00,0.00,0.00,match,
KYLA,B317,2026-02,0.00,0.00,0.00,match,
KYLA,B318,2026-01,1.60,1.60,0.00,match,
KYLA,B318,2026-02,0.80,0.80,0.00,match,
KYLA,B319,2026-01,0.00,0.00,0.00,match,
KYLA,B319,2026-02,0.00,0.00,0.00,match,
KYLA,B320,2026-01,0.00,0.00,0.00,match,
KYLA,B320,2026-02,0.00,0.00,0.00,match,
KYLA,B322,2026-01,0.00,0.00,0.00,match,
KYLA,B322,2026-02,0.00,0.00,0.00,match,
KYLA,B323,2026-01,0.00,0.00,0.00,match,
KYLA,B323,2026-02,0.00,0.00,0.00,match,
KYLA,B324,2026-01,0.00,0.00,0.00,match,
KYLA,B324,2026-02,0.00,0.00,0.00,match,
KYLA,B325,2026-01,0.00,0.00,0.00,match,
KYLA,B325,2026-02,0.00,0.00,0.00,match,
KYLA,B326,2026-01,0.00,0.00,0.00,match,
KYLA,B326,2026-02,0.00,0.00,0.00,match,
KYLA,B327,2026-01,29.20,29.20,0.00,match,
KYLA,B327,2026-02,26.60,26.60,0.00,match,
