building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B201,8,S,+,add,B201.KB1_Elogg,B201.KB1_Elogg,,6,excel_KYLA
B202,9,S,+,add,B202.VENT,B202.VENT,,6,excel_KYLA
B203,10,S,+,add,B203.KB1,B203.KB1,,6,excel_KYLA
B203,10,T,+,add,B203.KB5-Intverk,B203.KB5-Intverk,,6,excel_KYLA
B207,13,S,+,add,B207.VENT,B207.VENT,,6,excel_KYLA
B209,14,S,+,add,B209.KB1,B209.KB1,,6,excel_KYLA
B209,14,T,+,add,B209.KB4_VMM51,B209.KB4_VMM51,,6,excel_KYLA
B209,14,U,+,add,B209.KB6_VMM51,B209.KB6_VMM51,,6,excel_KYLA
B216,15,S,+,add,B216.KB1,B216.KB1,,6,excel_KYLA
B216,15,T,+,add,B216.VENT,B216.VENT,,6,excel_KYLA
B217,16,S,+,add,B217.KB1,B217.KB1,,6,excel_KYLA
B302,19,S,+,add,B304.KB2,B304.KB2,,6,excel_KYLA
B303,20,S,+,add,B304.KB2,B304.KB2,,6,excel_KYLA
B304,21,S,+,add,B304.KB1,B304.KB1,,6,excel_KYLA
B305,22,S,+,add,B305.KB1,B305.KB1,,6,excel_KYLA
B305,22,T,+,add,B307.KB1,B307.KB1,,6,excel_KYLA
B307,23,S,+,add,B307.KB1_VMM52,B307.KB1_VM52_E,,6,excel_KYLA
B307,23,T,+,add,B307.KB1,B307.KB1,,6,excel_KYLA
B308,24,S,+,add,B308.KB1,B308.KB1,,6,excel_KYLA
B312,28,S,+,add,B312.KB1,B312.KB1,,6,excel_KYLA
B318,34,S,+,add,B318.KB1,B318.KB1,,6,excel_KYLA
B327,42,S,+,add,B327.KB1,B327.KB1,,6,excel_KYLA
B330,44,S,+,add,B331.KB1_VMM51,B331.KB1_VM51_E,,6,excel_KYLA
B339,48,S,+,add,B339.KB1_INT_VERK1,B339.KB1_INT_VERK1,,6,excel_KYLA
B339,48,T,+,add,B339.KB1_VVS,B339.KB1_VVS,,6,excel_KYLA
B339,49,S,+,add,B339.KB1_KOLF,B339.KB1_KOLF,,6,excel_KYLA
B341,50,S,+,add,B341.KB1,B341.KB1,,6,excel_KYLA
B392,73,S,+,add,B392.KB1_VMM51,B392.KB1_VM51_E,,6,excel_KYLA
B212,77,S,+,add,B212.KB5,B212.KB5,,6,excel_KYLA
B336,78,S,+,add,B336.KB1,B336.KB1,,6,excel_KYLA
