meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B201.KB1_Elogg,201 KYLA meter KB1_Elogg,B201,KYLA,False,snowflake=B201.KB1_Elogg; strux=B201.KB1_Elogg,,
B202.VENT,202 KYLA meter VENT,B202,KYLA,False,strux=B202.VENT,,
B203.KB1,203 KYLA meter KB1,B203,KYLA,False,snowflake=B203.KB1; strux=B203.KB1,,2025-01-01
B203.KB5-Intverk,203 KYLA meter KB5-Intverk,B203,KYLA,False,snowflake=B203.KB5-Intverk; strux=B203.KB5-Intverk,,2025-01-01
B207.VENT,207 KYLA meter VENT,B207,KYLA,False,snowflake=B207.VENT; strux=B207.VENT,,
B209.KB1,209 KYLA meter KB1,B209,KYLA,False,snowflake=B209.KB1; strux=B209.KB1,,
B209.KB4_VMM51,209 KYLA meter KB4_VMM51,B209,KYLA,False,snowflake=B209.KB4_VMM51; strux=B209.KB4_VMM51,,2025-01-01
B209.KB6_VMM51,209 KYLA meter KB6_VMM51,B209,KYLA,False,snowflake=B209.KB6_VMM51; strux=B209.KB6_VMM51,,
B216.KB1,216 KYLA meter KB1,B216,KYLA,False,snowflake=B216.KB1; strux=B216.KB1,,
B216.VENT,216 KYLA meter VENT,B216,KYLA,False,snowflake=B216.VENT; strux=B216.VENT,,
B217.KB1,217 KYLA meter KB1,B217,KYLA,False,snowflake=B217.KB1; strux=B217.KB1,,
B304.KB2,302 KYLA meter KB2,B304,KYLA,False,snowflake=B304.KB2; strux=B304.KB2,,
B304.KB1,304 KYLA meter KB1,B304,KYLA,False,snowflake=B304.KB1; strux=B304.KB1,,
B305.KB1,305 KYLA meter KB1,B305,KYLA,False,snowflake=B305.KB1; strux=B305.KB1,,
B307.KB1,305 KYLA meter KB1,B307,KYLA,False,snowflake=B307.KB1; strux=B307.KB1,,
B307.KB1_VMM52,307 KYLA meter KB1_VMM52,B307,KYLA,False,snowflake=B307.KB1_VM52_E; strux=B307.KB1_VM52_E,,
B308.KB1,308 KYLA meter KB1,B308,KYLA,False,snowflake=B308.KB1; strux=B308.KB1,,
B312.KB1,312 KYLA meter KB1,B312,KYLA,False,snowflake=B312.KB1; strux=B312.KB1,,2025-01-01
B318.KB1,318 KYLA meter KB1,B318,KYLA,False,snowflake=B318.KB1; strux=B318.KB1,,
B327.KB1,327 KYLA meter KB1,B327,KYLA,False,snowflake=B327.KB1; strux=B327.KB1,,
B331.KB1_VMM51,330 KYLA meter KB1_VMM51,B330,KYLA,False,strux=B331.KB1_VM51_E,,
B339.KB1_INT_VERK1,339 KYLA meter KB1_INT_VERK1,B339,KYLA,False,snowflake=B339.KB1_INT_VERK1; strux=B339.KB1_INT_VERK1,,
B339.KB1_VVS,339 KYLA meter KB1_VVS,B339,KYLA,False,snowflake=B339.KB1_VVS; strux=B339.KB1_VVS,,
B339.KB1_KOLF,339 KYLA meter KB1_KOLF,B339,KYLA,False,snowflake=B339.KB1_KOLF; strux=B339.KB1_KOLF,,
B341.KB1,341 KYLA meter KB1,B341,KYLA,False,snowflake=B341.KB1; strux=B341.KB1,,
B392.KB1_VMM51,392 KYLA meter KB1_VMM51,B392,KYLA,False,strux=B392.KB1_VM51_E,,
B212.KB5,212 KYLA meter KB5,B212,KYLA,False,snowflake=B212.KB5; strux=B212.KB5,,
B336.KB1,336 KYLA meter KB1,B336,KYLA,False,strux=B336.KB1,,
B302.KYLA_VIRT,302 KYLA virtual B302.KYLA_VIRT,B302,KYLA,True,,,
B303.KYLA_VIRT,303 KYLA virtual B303.KYLA_VIRT,B303,KYLA,True,,,
B305.KYLA_VIRT,305 KYLA virtual B305.KYLA_VIRT,B305,KYLA,True,,,
B307.KYLA_VIRT,307 KYLA virtual B307.KYLA_VIRT,B307,KYLA,True,,,
