sensor_id,meter_id,point_type,unit,identifier
B201.KB1_Elogg.energy,B201.KB1_Elogg,Energy_Sensor,Megawatt-Hour,
B202.VENT.energy,B202.VENT,Energy_Sensor,Megawatt-Hour,
B203.KB1.energy,B203.KB1,Energy_Sensor,Megawatt-Hour,
B203.KB5-Intverk.energy,B203.KB5-Intverk,Energy_Sensor,Megawatt-Hour,
B207.VENT.energy,B207.VENT,Energy_Sensor,Megawatt-Hour,
B209.KB1.energy,B209.KB1,Energy_Sensor,Megawatt-Hour,
B209.KB4_VMM51.energy,B209.KB4_VMM51,Energy_Sensor,Megawatt-Hour,
B209.KB6_VMM51.energy,B209.KB6_VMM51,Energy_Sensor,Megawatt-Hour,
B216.KB1.energy,B216.KB1,Energy_Sensor,Megawatt-Hour,
B216.VENT.energy,B216.VENT,Energy_Sensor,Megawatt-Hour,
B217.KB1.energy,B217.KB1,Energy_Sensor,Megawatt-Hour,
B304.KB2.energy,B304.KB2,Energy_Sensor,Megawatt-Hour,
B304.KB1.energy,B304.KB1,Energy_Sensor,Megawatt-Hour,
B305.KB1.energy,B305.KB1,Energy_Sensor,Megawatt-Hour,
B307.KB1.energy,B307.KB1,Energy_Sensor,Megawatt-Hour,
B307.KB1_VMM52.energy,B307.KB1_VMM52,Energy_Sensor,Megawatt-Hour,
B308.KB1.energy,B308.KB1,Energy_Sensor,Megawatt-Hour,
B312.KB1.energy,B312.KB1,Energy_Sensor,Megawatt-Hour,
B318.KB1.energy,B318.KB1,Energy_Sensor,Megawatt-Hour,
B327.KB1.energy,B327.KB1,Energy_Sensor,Megawatt-Hour,
B331.KB1_VMM51.energy,B331.KB1_VMM51,Energy_Sensor,Megawatt-Hour,
B339.KB1_INT_VERK1.energy,B339.KB1_INT_VERK1,Energy_Sensor,Megawatt-Hour,
B339.KB1_VVS.energy,B339.KB1_VVS,Energy_Sensor,Megawatt-Hour,
B339.KB1_KOLF.energy,B339.KB1_KOLF,Energy_Sensor,Megawatt-Hour,
B341.KB1.energy,B341.KB1,Energy_Sensor,Megawatt-Hour,
B392.KB1_VMM51.energy,B392.KB1_VMM51,Energy_Sensor,Megawatt-Hour,
B212.KB5.energy,B212.KB5,Energy_Sensor,Megawatt-Hour,
B336.KB1.energy,B336.KB1,Energy_Sensor,Megawatt-Hour,
