timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B201.KB1_Elogg:d,B201.KB1_Elogg.energy,daily,counter,raw,True,,2026-02-17,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B201.KB1_Elogg,,,
B203.KB1:d,B203.KB1.energy,daily,counter,raw,True,,2025-10-17,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B203.KB1,,,
B203.KB5-Intverk:d,B203.KB5-Intverk.energy,daily,counter,raw,True,,2025-10-17,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B203.KB5-Intverk,,,
B207.VENT:d,B207.VENT.energy,daily,counter,raw,True,,2026-02-15,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.VENT,,,
B209.KB1:d,B209.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.KB1,,,
B209.KB4_VMM51:d,B209.KB4_VMM51.energy,daily,counter,raw,True,,2025-10-17,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.KB4_VMM51,,,
B209.KB6_VMM51:d,B209.KB6_VMM51.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.KB6_VMM51,,,
B216.KB1:d,B216.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B216.KB1,,,
B216.VENT:d,B216.VENT.energy,daily,counter,raw,True,,2025-09-27,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B216.VENT,,,
B217.KB1:d,B217.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B217.KB1,,,
B304.KB2:d,B304.KB2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B304.KB2,,,
B304.KB1:d,B304.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B304.KB1,,,
B305.KB1:d,B305.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B305.KB1,,,
B307.KB1:d,B307.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.KB1,,,
B307.KB1_VMM52:d,B307.KB1_VMM52.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.KB1_VM52_E,,,
B308.KB1:d,B308.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.KB1,,,
B312.KB1:d,B312.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B312.KB1,,,
B318.KB1:d,B318.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B318.KB1,,,
B327.KB1:d,B327.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B327.KB1,,,
B339.KB1_INT_VERK1:d,B339.KB1_INT_VERK1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.KB1_INT_VERK1,,,
B339.KB1_VVS:d,B339.KB1_VVS.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.KB1_VVS,,,
B339.KB1_KOLF:d,B339.KB1_KOLF.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.KB1_KOLF,,,
B341.KB1:d,B341.KB1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B341.KB1,,,
B212.KB5:d,B212.KB5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B212.KB5,,,
