building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,coefficient,n_terms
304,22,S,+,add,B304-52-V2-AW026,B304-52-V2-AW026,1.0,5
305,23,S,+,add,B305.V2_VM21,B305.V2_VMM21,1.0,5
308,25,S,+,add,B308.V2_VM21-V,B308.V2_VM21-V,1.0,5
310,27,S,+,add,B310.V2_GF4_1,B310.V2_GF4_1,0.5,5
311,28,S,+,add,B310.V2_GF4_1,B310.V2_GF4_1,0.5,5
325,41,S,+,add,B325.V2_GF4_1,B325.V2_GF4_1,1.0,5
330,45,S,+,add,B330.V2_GF4_1,B330.V2_GF4_1,0.5,5
331,46,S,+,add,B330.V2_GF4_1,B330.V2_GF4_1,0.5,5
334,47,S,+,add,B334.V2_VM90_V,B334.V2_VM90_V,1.0,5
337,48,S,+,add,B337.V2_GF4_1,B337.V2_GF4_1,1.0,5
339,50,S,+,add,B339.V2_GF4_1,B339.V2_GF4_1,1.0,5
339,51,S,+,add,B339.V2_GF3_3,B339.V2_GF3_3,1.0,7
339,51,T,+,add,B339.V2_GF3_4,B339.V2_GF3_4,1.0,7
339,51,U,+,add,B339.V2_GF4,B339.V2_GF4,1.0,7
339,51,V,−,sub,B212.V2_VM51,B212.V2_VMM51,1.0,7
339,51,W,−,sub,B229.V2_VM51,B229.V2_VMM51,1.0,7
339,51,X,−,sub,B230.V2_VM51,B230.V2_VMM51,1.0,7
339,51,Y,−,sub,B339.V2_GF4_1,B339.V2_GF4_1,1.0,7
392,75,S,+,add,B392.V2_VM21_V,B392.V2_VM21_V,1.0,5
409,78,S,+,add,B409.V2_GF4,B409.V2_GF4,1.0,5
212,80,S,+,add,B212.V2_VM51,B212.V2_VMM51,1.0,5
229,81,S,+,add,B229.V2_VM51,B229.V2_VMM51,1.0,5
230,82,S,+,add,B230.V2_VM51,B230.V2_VMM51,1.0,5
Kringlan,83,S,+,add,TE-52-V2-GF4:1 Kringlan,TE-52-V2-GF4:1 Kringlan,1.0,5
Scania,84,S,+,add,TE-52-V2-SCANIA,TE-52-V2-SCANIA,1.0,5
