meter_id,building,meter_type
B304-52-V2-AW026,304,real
B305.V2_VMM21,305,real
B308.V2_VM21-V,308,real
B310.V2_GF4_1,,real
B325.V2_GF4_1,325,real
B330.V2_GF4_1,,real
B334.V2_VM90_V,334,real
B337.V2_GF4_1,337,real
B339.V2_GF4_1,339,real
B339.V2_GF3_3,339,real
B339.V2_GF3_4,339,real
B339.V2_GF4,339,real
B212.V2_VMM51,212,real
B229.V2_VMM51,229,real
B230.V2_VMM51,230,real
B392.V2_VM21_V,392,real
B409.V2_GF4,409,real
TE-52-V2-GF4:1 Kringlan,Kringlan,real
TE-52-V2-SCANIA,Scania,real
B310.SJOVATTEN_VIRT,310,virtual
B311.SJOVATTEN_VIRT,311,virtual
B330.SJOVATTEN_VIRT,330,virtual
B331.SJOVATTEN_VIRT,331,virtual
