media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
SJOVATTEN,B201,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B201,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B202,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B202,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B203,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B203,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B204,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B204,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B205,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B205,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B207,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B207,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B209,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B212,2026-01,1305.00,1305.00,0.00,match,
SJOVATTEN,B212,2026-02,1063.00,1063.00,0.00,match,
SJOVATTEN,B216,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B216,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B217,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B217,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B228,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B228,2026-02,0.00,0.00,0.00,match,
SJOVATTEN,B229,2026-01,0.00,0.00,0.00,match,
SJOVATTEN,B229,2026-02,2.00,2.00,0.00,match,
SJOVATTEN,B230,2026-01,624.00,624.00,0.00,match,
SJOVATTEN,B230,2026-02,578.00,578.00,0.00,match,
SJOVATTEN,B301,2026-01,540.27,0.00,-540.27,campus_attributed,No SJOVATTEN meter targets B301 in the ontology — all meters tied to this Excel line are bucketed at campus level. Excel and ontology measure the same reading at different scopes.
SJOVATTEN,B301,2026-02,2684.58,0.00,-2684.58,campus_attributed,No SJOVATTEN meter targets B301 in the ontology — all meters tied to this Excel line are bucketed at campus level. Excel and ontology measure the same reading at different scopes.
SJOVATTEN,B302,2026-01,1080.55,0.00,-1080.55,campus_attributed,No SJOVATTEN meter targets B302 in the ontology — all meters tied to this Excel line are bucketed at campus level. Excel and ontology measure the same reading at different scopes.
SJOVATTEN,B302,2026-02,5369.17,0.00,-5369.17,campus_attributed,No SJOVATTEN meter targets B302 in the ontology — all meters tied to this Excel line are bucketed at campus level. Excel and ontology measure the same reading at different scopes.
