building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B304,22,S,+,add,B304-52-V2-AW026,B304-52-V2-AW026,,5,excel_SJOVATTEN
B305,23,S,+,add,B305.V2_VMM21,B305.V2_VM21,,5,excel_SJOVATTEN
B308,25,S,+,add,B308.V2_VM21-V,B308.V2_VM21-V,,5,excel_SJOVATTEN
B310,27,S,+,add,B310.V2_GF4_1,B310.V2_GF4_1,,5,excel_SJOVATTEN
B311,28,S,+,add,B310.V2_GF4_1,B310.V2_GF4_1,,5,excel_SJOVATTEN
B325,41,S,+,add,B325.V2_GF4_1,B325.V2_GF4_1,,5,excel_SJOVATTEN
B330,45,S,+,add,B330.V2_GF4_1,B330.V2_GF4_1,,5,excel_SJOVATTEN
B331,46,S,+,add,B330.V2_GF4_1,B330.V2_GF4_1,,5,excel_SJOVATTEN
B334,47,S,+,add,B334.V2_VM90_V,B334.V2_VM90_V,,5,excel_SJOVATTEN
B337,48,S,+,add,B337.V2_GF4_1,B337.V2_GF4_1,,5,excel_SJOVATTEN
B339,50,S,+,add,B339.V2_GF4_1,B339.V2_GF4_1,,5,excel_SJOVATTEN
B339,51,S,+,add,B339.V2_GF3_3,B339.V2_GF3_3,,7,excel_SJOVATTEN
B339,51,T,+,add,B339.V2_GF3_4,B339.V2_GF3_4,,7,excel_SJOVATTEN
B339,51,U,+,add,B339.V2_GF4,B339.V2_GF4,,7,excel_SJOVATTEN
B339,51,V,−,sub,B212.V2_VMM51,B212.V2_VM51,,7,excel_SJOVATTEN
B339,51,W,−,sub,B229.V2_VMM51,B229.V2_VM51,,7,excel_SJOVATTEN
B339,51,X,−,sub,B230.V2_VMM51,B230.V2_VM51,,7,excel_SJOVATTEN
B339,51,Y,−,sub,B339.V2_GF4_1,B339.V2_GF4_1,,7,excel_SJOVATTEN
B392,75,S,+,add,B392.V2_VM21_V,B392.V2_VM21_V,,5,excel_SJOVATTEN
B409,78,S,+,add,B409.V2_GF4,B409.V2_GF4,,5,excel_SJOVATTEN
B212,80,S,+,add,B212.V2_VMM51,B212.V2_VM51,,5,excel_SJOVATTEN
B229,81,S,+,add,B229.V2_VMM51,B229.V2_VM51,,5,excel_SJOVATTEN
B230,82,S,+,add,B230.V2_VMM51,B230.V2_VM51,,5,excel_SJOVATTEN
Kringlan,83,S,+,add,TE-52-V2-GF4:1 Kringlan,TE-52-V2-GF4:1 Kringlan,,5,excel_SJOVATTEN
Scania,84,S,+,add,TE-52-V2-SCANIA,TE-52-V2-SCANIA,,5,excel_SJOVATTEN
