parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B339.V2_GF3_3,B212.V2_VMM51,hasSubMeter,,,,excel_formula_B339
B339.V2_GF3_3,B229.V2_VMM51,hasSubMeter,,,,excel_formula_B339
B339.V2_GF3_3,B230.V2_VMM51,hasSubMeter,,,,excel_formula_B339
B339.V2_GF3_3,B339.V2_GF4_1,hasSubMeter,,,,excel_formula_B339
B310.V2_GF4_1,B310.SJOVATTEN_VIRT,feeds,0.5,,,excel_Sjovatten_r27
B310.V2_GF4_1,B311.SJOVATTEN_VIRT,feeds,0.5,,,excel_Sjovatten_r28
B330.V2_GF4_1,B330.SJOVATTEN_VIRT,feeds,0.5,,,excel_Sjovatten_r45
B330.V2_GF4_1,B331.SJOVATTEN_VIRT,feeds,0.5,,,excel_Sjovatten_r46
B342.V2_VM90_V,SNV.SJOVATTEN_INTAKE,feeds,1.0,,,B342_lake_intake
B342.V2_VM91_V,SNV.SJOVATTEN_INTAKE,feeds,1.0,,,B342_lake_intake
SNV.SJOVATTEN_INTAKE,B304-52-V2-AW026,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B305.V2_VMM21,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B308.V2_VM21-V,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B310.V2_GF4_1,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B325.V2_GF4_1,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B330.V2_GF4_1,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B334.V2_VM90_V,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B337.V2_GF4_1,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B339.V2_GF3_3,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B339.V2_GF3_4,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B339.V2_GF4,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B392.V2_VM21_V,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,B409.V2_GF4,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,TE-52-V2-GF4:1 Kringlan,hasSubMeter,,,,snv_sjovatten_intake_fanout
SNV.SJOVATTEN_INTAKE,TE-52-V2-SCANIA,hasSubMeter,,,,snv_sjovatten_intake_fanout
