meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B304-52-V2-AW026,B304-52-V2-AW026,B304,SJOVATTEN,False,strux=B304-52-V2-AW026,,
B305.V2_VMM21,305 SJOVATTEN meter V2_VMM21,B305,SJOVATTEN,False,snowflake=B305.V2_VM21; strux=B305.V2_VM21,,2025-01-01
B308.V2_VM21-V,308 SJOVATTEN meter V2_VM21-V,B308,SJOVATTEN,False,snowflake=B308.V2_VM21_V; strux=B308.V2_VM21-V,,2025-01-01
B310.V2_GF4_1,310 SJOVATTEN meter V2_GF4_1,,SJOVATTEN,False,strux=B310.V2_GF4_1,,
B325.V2_GF4_1,325 SJOVATTEN meter V2_GF4_1,B325,SJOVATTEN,False,snowflake=B325.V2_GF4_1; strux=B325.V2_GF4_1,,
B330.V2_GF4_1,330 SJOVATTEN meter V2_GF4_1,,SJOVATTEN,False,strux=B330.V2_GF4_1,,
B334.V2_VM90_V,334 SJOVATTEN meter V2_VM90_V,B334,SJOVATTEN,False,snowflake=B334.V2_VM90_V; strux=B334.V2_VM90_V,,
B337.V2_GF4_1,337 SJOVATTEN meter V2_GF4_1,B337,SJOVATTEN,False,strux=B337.V2_GF4_1,,
B339.V2_GF4_1,339 SJOVATTEN meter V2_GF4_1,B339,SJOVATTEN,False,snowflake=B339.V2_GF4_1; strux=B339.V2_GF4_1,,
B339.V2_GF3_3,339 SJOVATTEN meter V2_GF3_3,B339,SJOVATTEN,False,snowflake=B339.V2_GF3_3; strux=B339.V2_GF3_3,,
B339.V2_GF3_4,339 SJOVATTEN meter V2_GF3_4,B339,SJOVATTEN,False,snowflake=B339.V2_GF3_4; strux=B339.V2_GF3_4,,
B339.V2_GF4,339 SJOVATTEN meter V2_GF4,B339,SJOVATTEN,False,snowflake=B339.V2_GF4; strux=B339.V2_GF4,,
B212.V2_VMM51,212 SJOVATTEN meter V2_VMM51,B212,SJOVATTEN,False,snowflake=B212.V2_VM51; strux=B212.V2_VM51,,
B229.V2_VMM51,229 SJOVATTEN meter V2_VMM51,B229,SJOVATTEN,False,snowflake=B229.V2_VM51; strux=B229.V2_VM51,,
B230.V2_VMM51,230 SJOVATTEN meter V2_VMM51,B230,SJOVATTEN,False,snowflake=B230.V2_VM51; strux=B230.V2_VM51,,
B392.V2_VM21_V,392 SJOVATTEN meter V2_VM21_V,B392,SJOVATTEN,False,snowflake=B392.V2_VM21_V; strux=B392.V2_VM21_V,,
B409.V2_GF4,409 SJOVATTEN meter V2_GF4,B409,SJOVATTEN,False,snowflake=B409.V2_GF4; strux=B409.V2_GF4,,
TE-52-V2-GF4:1 Kringlan,TE-52-V2-GF4:1 Kringlan,BKringlan,SJOVATTEN,False,strux=TE-52-V2-GF4:1 Kringlan,,
TE-52-V2-SCANIA,TE-52-V2-SCANIA,BScania,SJOVATTEN,False,strux=TE-52-V2-SCANIA,,
B310.SJOVATTEN_VIRT,310 SJOVATTEN virtual B310.SJOVATTEN_VIRT,B310,SJOVATTEN,True,,,
B311.SJOVATTEN_VIRT,311 SJOVATTEN virtual B311.SJOVATTEN_VIRT,B311,SJOVATTEN,True,,,
B330.SJOVATTEN_VIRT,330 SJOVATTEN virtual B330.SJOVATTEN_VIRT,B330,SJOVATTEN,True,,,
B331.SJOVATTEN_VIRT,331 SJOVATTEN virtual B331.SJOVATTEN_VIRT,B331,SJOVATTEN,True,,,
B342.V2_VM90_V,SJOVATTEN meter V2_VM90_V (intagsmätare 1),,SJOVATTEN,False,snowflake=B342.V2_VM90_V; strux=B342.V2_VM90_V,,
B342.V2_VM91_V,SJOVATTEN meter V2_VM91_V (intagsmätare 2),,SJOVATTEN,False,snowflake=B342.V2_VM91_V; strux=B342.V2_VM91_V,,
SNV.SJOVATTEN_INTAKE,SJOVATTEN virtual SNV.SJOVATTEN_INTAKE,,SJOVATTEN,True,excel=Total SNV intagsmätare,,
