sensor_id,meter_id,point_type,unit,identifier
B304-52-V2-AW026.energy,B304-52-V2-AW026,Energy_Sensor,M3,
B305.V2_VMM21.energy,B305.V2_VMM21,Energy_Sensor,M3,
B308.V2_VM21-V.energy,B308.V2_VM21-V,Energy_Sensor,M3,
B310.V2_GF4_1.energy,B310.V2_GF4_1,Energy_Sensor,M3,
B325.V2_GF4_1.energy,B325.V2_GF4_1,Energy_Sensor,M3,
B330.V2_GF4_1.energy,B330.V2_GF4_1,Energy_Sensor,M3,
B334.V2_VM90_V.energy,B334.V2_VM90_V,Energy_Sensor,M3,
B337.V2_GF4_1.energy,B337.V2_GF4_1,Energy_Sensor,M3,
B339.V2_GF4_1.energy,B339.V2_GF4_1,Energy_Sensor,M3,
B339.V2_GF3_3.energy,B339.V2_GF3_3,Energy_Sensor,M3,
B339.V2_GF3_4.energy,B339.V2_GF3_4,Energy_Sensor,M3,
B339.V2_GF4.energy,B339.V2_GF4,Energy_Sensor,M3,
B212.V2_VMM51.energy,B212.V2_VMM51,Energy_Sensor,M3,
B229.V2_VMM51.energy,B229.V2_VMM51,Energy_Sensor,M3,
B230.V2_VMM51.energy,B230.V2_VMM51,Energy_Sensor,M3,
B392.V2_VM21_V.energy,B392.V2_VM21_V,Energy_Sensor,M3,
B409.V2_GF4.energy,B409.V2_GF4,Energy_Sensor,M3,
TE-52-V2-GF4:1 Kringlan.energy,TE-52-V2-GF4:1 Kringlan,Energy_Sensor,M3,
TE-52-V2-SCANIA.energy,TE-52-V2-SCANIA,Energy_Sensor,M3,
