timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B305.V2_VMM21:d,B305.V2_VMM21.energy,daily,counter,raw,True,,2025-10-18,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B305.V2_VM21,,,
B308.V2_VM21-V:d,B308.V2_VM21-V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.V2_VM21_V,,,
B325.V2_GF4_1:d,B325.V2_GF4_1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B325.V2_GF4_1,,,
B334.V2_VM90_V:d.A,B334.V2_VM90_V.energy,daily,counter,raw,False,,2025-08-05,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B334.V2_VM90_V,,,
B334.V2_VM90_V:d.B,B334.V2_VM90_V.energy,daily,counter,raw,False,2025-11-30,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B334.V2_VM90_V,,,
B334.V2_VM90_V:d,B334.V2_VM90_V.energy,daily,counter,derived,True,,,,,,,B334.V2_VM90_V:d.A|B334.V2_VM90_V:d.B,rolling_sum
B339.V2_GF4_1:d,B339.V2_GF4_1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.V2_GF4_1,,,
B339.V2_GF3_3:d,B339.V2_GF3_3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.V2_GF3_3,,,
B339.V2_GF3_4:d,B339.V2_GF3_4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.V2_GF3_4,,,
B339.V2_GF4:d,B339.V2_GF4.energy,daily,counter,raw,True,,2025-05-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.V2_GF4,,,
B212.V2_VMM51:d,B212.V2_VMM51.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B212.V2_VM51,,,
B229.V2_VMM51:d,B229.V2_VMM51.energy,daily,counter,raw,True,,2026-02-20,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B229.V2_VM51,,,
B230.V2_VMM51:d,B230.V2_VMM51.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B230.V2_VM51,,,
B392.V2_VM21_V:d,B392.V2_VM21_V.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B392.V2_VM21_V,,,
B409.V2_GF4:d,B409.V2_GF4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B409.V2_GF4,,,
