facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B201.VP1_VMM61,B201.VP1_VMM61_E,B201.VP1_VMM61_E,yes,high,snowflake 'B201.VP1_VMM61_E' (toggle→B201.VP1_VMM61_E); STRUX 'B201.VP1_VMM61_E'; excel Värme roles=add buildings=201
B203.FV1_MQ4,B203.FV1_MQ4_E,B203.FV1_MQ4_E,no,high,snowflake 'B203.FV1_MQ4_E' (toggle→B203.FV1_MQ4_E); STRUX 'B203.FV1_MQ4_E'; not used in Excel Värme
B203.VP1_VMM61,B203.VP1_VMM61_E,B203.VP1_VMM61_E,yes,high,"snowflake 'B203.VP1_VMM61_E' (exact match to STRUX/Excel id; bare variant 'B203.VP1_VMM61' also exists but represents a different physical meter); STRUX 'B203.VP1_VMM61_E'; excel Värme roles=add buildings=202,203,204,205,209"
B207.VP1_VMM61,B207.VP1_VMM61,B207.VP1_VMM61,yes,high,snowflake 'B207.VP1_VMM61' (exact); STRUX 'B207.VP1_VMM61'; excel Värme roles=add buildings=207
B216.VP1_VMM61,B216.VP1_VMM61,B216.VP1_VMM61,yes,high,snowflake 'B216.VP1_VMM61' (exact); STRUX 'B216.VP1_VMM61'; excel Värme roles=add buildings=216
B217.VP1_VMM61,B217.VP1_VMM61_E,B217.VP1_VMM61_E,yes,high,snowflake 'B217.VP1_VMM61_E' (toggle→B217.VP1_VMM61_E); STRUX 'B217.VP1_VMM61_E'; excel Värme roles=add buildings=217
B217.VS1_VMM61,B217.VS1_VMM61_E,B217.VS1_VMM61_E,no,high,snowflake 'B217.VS1_VMM61_E' (toggle→B217.VS1_VMM61_E); STRUX 'B217.VS1_VMM61_E'; not used in Excel Värme (flow-schema-only)
B301.VP2_VMM61,B301.VP2_VMM61_E,B301.VP2_VMM61_E,yes,high,snowflake 'B301.VP2_VMM61_E' (toggle→B301.VP2_VMM61_E); STRUX 'B301.VP2_VMM61_E'; excel Värme roles=add|sub buildings=301|310
B301.VP2_VMM62,B301.VP2_VMM62_E,B301.VP2_VMM62_E,yes,high,snowflake 'B301.VP2_VMM62_E' (toggle→B301.VP2_VMM62_E); STRUX 'B301.VP2_VMM62_E'; excel Värme roles=add|sub buildings=301|310
B302.VP2_VMM61,B302.VP2_VMM61_E,B302.VP2_VMM61_E,yes,high,snowflake 'B302.VP2_VMM61_E' (toggle→B302.VP2_VMM61_E); STRUX 'B302.VP2_VMM61_E'; excel Värme roles=add|sub buildings=302|310
B302.VP2_VMM62,B302.VP2_VMM62_E,B302.VP2_VMM62_E,yes,high,snowflake 'B302.VP2_VMM62_E' (toggle→B302.VP2_VMM62_E); STRUX 'B302.VP2_VMM62_E'; excel Värme roles=add|sub buildings=302|310
B303.VP2_VMM61,B303.VP2_VMM61_E,B303.VP2_VMM61_E,yes,high,snowflake 'B303.VP2_VMM61_E' (toggle→B303.VP2_VMM61_E); STRUX 'B303.VP2_VMM61_E'; excel Värme roles=add|sub buildings=303|310
B304.VP2_VMM61,B304.VP2_VMM61_E,B304.VP2_VMM61_E,yes,high,snowflake 'B304.VP2_VMM61_E' (toggle→B304.VP2_VMM61_E); STRUX 'B304.VP2_VMM61_E'; excel Värme roles=add|sub buildings=304|310
B304.VP2_VMM62,B304.VP2_VMM62_E,B304.VP2_VMM62_E,yes,high,snowflake 'B304.VP2_VMM62_E' (toggle→B304.VP2_VMM62_E); STRUX 'B304.VP2_VMM62_E'; excel Värme roles=add|sub buildings=304|310
B305.VP2_VMM61,B305.VP2_VMM61_E,B305.VP2_VMM61_E,yes,high,snowflake 'B305.VP2_VMM61_E' (toggle→B305.VP2_VMM61_E); STRUX 'B305.VP2_VMM61_E'; excel Värme roles=add|sub buildings=305|310
B307.VS1_VMM61,B307.VS1_VMM61,B307.VS1_VMM61,yes,high,snowflake 'B307.VS1_VMM61' (exact); STRUX 'B307.VS1_VMM61'; excel Värme roles=add|sub buildings=307|308
B308.VS1_VMM61,B308.VS1_VMM61_E,B308.VS1_VMM61_E,yes,high,snowflake 'B308.VS1_VMM61_E' (toggle→B308.VS1_VMM61_E); STRUX 'B308.VS1_VMM61_E'; excel Värme roles=add buildings=308
B310.VP1_VMM61,B310.VP1_VMM61_E,B310.VP1_VMM61_E,yes,high,snowflake 'B310.VP1_VMM61_E' (toggle→B310.VP1_VMM61_E); STRUX 'B310.VP1_VMM61_E'; excel Värme roles=add buildings=310
B310.VP1_VMM62,B310.VP1_VMM62_E,,no,medium,snowflake 'B310.VP1_VMM62_E' (toggle→B310.VP1_VMM62_E); not used in Excel Värme (flow-schema-only)
B310.VP2_VMM61,B310.VP2_VMM61_E,B310.VP2_VMM61_E,yes,high,snowflake 'B310.VP2_VMM61_E' (toggle→B310.VP2_VMM61_E); STRUX 'B310.VP2_VMM61_E'; excel Värme roles=add buildings=310
B310.VS2_VMM61,B310.VS2_VMM61_E,B310.VS2_VMM61_E,yes,high,snowflake 'B310.VS2_VMM61_E' (toggle→B310.VS2_VMM61_E); STRUX 'B310.VS2_VMM61_E'; excel Värme roles=add|sub buildings=310|311
B310.VS2_VMM62,B310.VS2_VMM62_E,B310.VS2_VMM62_E,yes,high,snowflake 'B310.VS2_VMM62_E' (toggle→B310.VS2_VMM62_E); STRUX 'B310.VS2_VMM62_E'; excel Värme roles=add|sub buildings=310|311
B311.VP1_VMM61,B311.VP1_VMM61_E,,no,medium,snowflake 'B311.VP1_VMM61_E' (toggle→B311.VP1_VMM61_E); not used in Excel Värme (flow-schema-only)
B311.VP1_VMM62,B311.VP1_VMM62_E,B311.VP1_VMM62_E,yes,high,snowflake 'B311.VP1_VMM62_E' (toggle→B311.VP1_VMM62_E); STRUX 'B311.VP1_VMM62_E'; excel Värme roles=add|sub buildings=310|311
B311.VP1_VMM64,B311.VP1_VMM64_E,B311.VP1_VMM64_E,yes,high,snowflake 'B311.VP1_VMM64_E' (toggle→B311.VP1_VMM64_E); STRUX 'B311.VP1_VMM64_E'; excel Värme roles=add|sub buildings=310|311
B311.VP1_VMM65,B311.VP1_VMM65_E,B311.VP1_VMM65_E,yes,high,snowflake 'B311.VP1_VMM65_E' (toggle→B311.VP1_VMM65_E); STRUX 'B311.VP1_VMM65_E'; excel Värme roles=add|sub buildings=310|311
B311.VS2_VMM61,B311.VS2_VMM61_E,B311.VS2_VMM61_E,yes,high,snowflake 'B311.VS2_VMM61_E' (toggle→B311.VS2_VMM61_E); STRUX 'B311.VS2_VMM61_E'; excel Värme roles=add|sub buildings=310|311
B312.VP2_VMM61,B312.VP2_VMM61_E,B312.VP2_VMM61_E,yes,high,snowflake 'B312.VP2_VMM61_E' (toggle→B312.VP2_VMM61_E); STRUX 'B312.VP2_VMM61_E'; excel Värme roles=add|sub buildings=310|312
B312.VP2_VMM62,B312.VP2_VMM62_E,B312.VP2_VMM62_E,yes,high,snowflake 'B312.VP2_VMM62_E' (toggle→B312.VP2_VMM62_E); STRUX 'B312.VP2_VMM62_E'; excel Värme roles=add|sub buildings=310|312
B313.VP1_VMM62,B313.VP1_VMM62_E,B313.VP1_VMM62_E,yes,high,snowflake 'B313.VP1_VMM62_E' (toggle→B313.VP1_VMM62_E); STRUX 'B313.VP1_VMM62_E'; excel Värme roles=add|sub buildings=310|313
B313.VS1_VMM61,B313.VS1_VMM61,B313.VS1_VMM61,yes,high,snowflake 'B313.VS1_VMM61' (exact); STRUX 'B313.VS1_VMM61'; excel Värme roles=add|sub buildings=310|313
B314.VP1_VMM61,B314.VP1_VMM61_E,B314.VP1_VMM61_E,yes,high,snowflake 'B314.VP1_VMM61_E' (toggle→B314.VP1_VMM61_E); STRUX 'B314.VP1_VMM61_E'; excel Värme roles=add|sub buildings=313|314
B315.VP1_VMM61,B315.VP1_VMM61_E,B315.VP1_VMM61_E,yes,high,snowflake 'B315.VP1_VMM61_E' (toggle→B315.VP1_VMM61_E); STRUX 'B315.VP1_VMM61_E'; excel Värme roles=add|sub buildings=314|315
B317.VP1_VMM61,B317.VP1_VMM61_E,B317.VP1_VMM61_E,yes,high,snowflake 'B317.VP1_VMM61_E' (toggle→B317.VP1_VMM61_E); STRUX 'B317.VP1_VMM61_E'; excel Värme roles=add|sub buildings=310|317
B317.VP1_VMM62,B317.VP1_VMM62_E,B317.VP1_VMM62_E,yes,high,snowflake 'B317.VP1_VMM62_E' (toggle→B317.VP1_VMM62_E); STRUX 'B317.VP1_VMM62_E'; excel Värme roles=add|sub buildings=310|317
B317.VP1_VMM63,B317.VP1_VMM63_E,B317.VP1_VMM63_E,yes,high,snowflake 'B317.VP1_VMM63_E' (toggle→B317.VP1_VMM63_E); STRUX 'B317.VP1_VMM63_E'; excel Värme roles=add|sub buildings=310|317
B318.VP1_VMM61,B318.VP1_VMM61_E,B318.VP1_VMM61_E,yes,high,snowflake 'B318.VP1_VMM61_E' (toggle→B318.VP1_VMM61_E); STRUX 'B318.VP1_VMM61_E'; excel Värme roles=add buildings=318
B319.VP1_VMM61,B319.VP1_VMM61,B319.VP1_VMM61,yes,high,snowflake 'B319.VP1_VMM61' (exact); STRUX 'B319.VP1_VMM61'; excel Värme roles=add|sub buildings=318|319
B325.VP1_VMM61,B325.VP1_VMM61,B325.VP1_VMM61,yes,high,snowflake 'B325.VP1_VMM61' (exact); STRUX 'B325.VP1_VMM61'; excel Värme roles=add buildings=325
B326.VS1_VMM61,B326.VS1_VMM61,B326.VS1_VMM61,yes,high,snowflake 'B326.VS1_VMM61' (exact); STRUX 'B326.VS1_VMM61'; excel Värme roles=add buildings=326|327
B327.VS1_VMM61,B327.VS1_VMM61,B327.VS1_VMM61,yes,high,snowflake 'B327.VS1_VMM61' (exact); STRUX 'B327.VS1_VMM61'; excel Värme roles=add|sub buildings=308|327
B330.VS1_VMM61,B330.VS1_VMM61_E,B330.VS1_VMM61_E,yes,high,snowflake 'B330.VS1_VMM61_E' (exact match to STRUX/Excel id; bare variant 'B330.VS1_VMM61' also exists but represents a different physical meter); STRUX 'B330.VS1_VMM61_E'; excel Värme roles=add buildings=330/331
B334.VS1_VMM61,B334.VS1_VMM61_E,B334.VS1_VMM61_E,yes,high,snowflake 'B334.VS1_VMM61_E' (toggle→B334.VS1_VMM61_E); STRUX 'B334.VS1_VMM61_E'; excel Värme roles=add buildings=334
B337.VP12_VMM61,B337.VP12_VMM61_E,B337.VP12_VMM61_E,yes,high,snowflake 'B337.VP12_VMM61_E' (toggle→B337.VP12_VMM61_E); STRUX 'B337.VP12_VMM61_E'; excel Värme roles=add buildings=337
B337.VS12_VMM61,B337.VS12_VMM61_E,B337.VS12_VMM61_E,yes,high,snowflake 'B337.VS12_VMM61_E' (toggle→B337.VS12_VMM61_E); STRUX 'B337.VS12_VMM61_E'; excel Värme roles=add buildings=337
B339.VS1_VMM61,B339.VS1_VMM61_E,B339.VS1_VMM61_E,yes,high,snowflake 'B339.VS1_VMM61_E' (toggle→B339.VS1_VMM61_E); STRUX 'B339.VS1_VMM61_E'; excel Värme roles=add buildings=339
B341.VS1_VMM61,B341.VS1_VMM61_E,B341.VS1_VMM61_E,yes,high,snowflake 'B341.VS1_VMM61_E' (toggle→B341.VS1_VMM61_E); STRUX 'B341.VS1_VMM61_E'; excel Värme roles=add|sub buildings=310|341
