building,excel_building_label,row,formula_column,sign,role,excel_meter_id,facit_meter_id,n_terms
B201,201,8,S,+,add,B201.VP1_VMM61_E,B201.VP1_VMM61,5
B203,"202,203,204,205,209",9,S,+,add,B203.VP1_VMM61_E,B203.VP1_VMM61,5
B207,207,10,S,+,add,B207.VP1_VMM61,B207.VP1_VMM61,5
B216,216,11,S,+,add,B216.VP1_VMM61,B216.VP1_VMM61,5
B217,217,12,S,+,add,B217.VP1_VMM61_E,B217.VP1_VMM61,5
B301,301,14,S,+,add,B301.VP2_VMM61_E,B301.VP2_VMM61,5
B301,301,14,T,+,add,B301.VP2_VMM62_E,B301.VP2_VMM62,5
B302,302,15,S,+,add,B302.VP2_VMM61_E,B302.VP2_VMM61,5
B302,302,15,T,+,add,B302.VP2_VMM62_E,B302.VP2_VMM62,5
B303,303,16,S,+,add,B303.VP2_VMM61_E,B303.VP2_VMM61,5
B304,304,17,S,+,add,B304.VP2_VMM61_E,B304.VP2_VMM61,5
B304,304,17,T,+,add,B304.VP2_VMM62_E,B304.VP2_VMM62,5
B305,305,18,S,+,add,B305.VP2_VMM61_E,B305.VP2_VMM61,5
B307,307,19,S,+,add,B307.VS1_VMM61,B307.VS1_VMM61,5
B308,308,20,S,+,add,B308.VS1_VMM61_E,B308.VS1_VMM61,5
B308,308,20,T,−,sub,B327.VS1_VMM61,B327.VS1_VMM61,5
B308,308,20,U,−,sub,B307.VS1_VMM61,B307.VS1_VMM61,5
B310,310,22,S,+,add,B310.VP2_VMM61_E,B310.VP2_VMM61,27
B310,310,22,T,+,add,B310.VP1_VMM61_E,B310.VP1_VMM61,27
B310,310,22,U,+,add,B310.VS2_VMM61_E,B310.VS2_VMM61,27
B310,310,22,V,+,add,B310.VS2_VMM62_E,B310.VS2_VMM62,27
B310,310,22,W,−,sub,B312.VP2_VMM61_E,B312.VP2_VMM61,27
B310,310,22,X,−,sub,B305.VP2_VMM61_E,B305.VP2_VMM61,27
B310,310,22,Y,−,sub,B302.VP2_VMM62_E,B302.VP2_VMM62,27
B310,310,22,Z,−,sub,B385.VP2_VMM62_E,B385.VP2_VMM62,27
B310,310,22,AA,−,sub,B341.VS1_VMM61_E,B341.VS1_VMM61,27
B310,310,22,AB,−,sub,B303.VP2_VMM61_E,B303.VP2_VMM61,27
B310,310,22,AC,−,sub,B304.VP2_VMM62_E,B304.VP2_VMM62,27
B310,310,22,AD,−,sub,B304.VP2_VMM61_E,B304.VP2_VMM61,27
B310,310,22,AE,−,sub,B301.VP2_VMM61_E,B301.VP2_VMM61,27
B310,310,22,AF,−,sub,B302.VP2_VMM61_E,B302.VP2_VMM61,27
B310,310,22,AG,−,sub,B301.VP2_VMM62_E,B301.VP2_VMM62,27
B310,310,22,AH,−,sub,B311.VP1_VMM62_E,B311.VP1_VMM62,27
B310,310,22,AI,−,sub,B311.VP1_VMM65_E,B311.VP1_VMM65,27
B310,310,22,AJ,−,sub,B311.VS2_VMM61_E,B311.VS2_VMM61,27
B310,310,22,AK,−,sub,B317.VP1_VMM63_E,B317.VP1_VMM63,27
B310,310,22,AL,−,sub,B317.VP1_VMM61_E,B317.VP1_VMM61,27
B310,310,22,AM,−,sub,B313.VS1_VMM61,B313.VS1_VMM61,27
B310,310,22,AN,−,sub,B313.VP1_VMM62_E,B313.VP1_VMM62,27
B310,310,22,AO,−,sub,B311.VP1_VMM64_E,B311.VP1_VMM64,27
B310,310,22,AP,−,sub,B385.VP2_VMM61_E,B385.VP2_VMM61,27
B310,310,22,AQ,−,sub,B312.VP2_VMM62_E,B312.VP2_VMM62,27
B310,310,22,AR,−,sub,B317.VP1_VMM62_E,B317.VP1_VMM62,27
B311,311,23,S,+,add,B311.VP1_VMM65_E,B311.VP1_VMM65,7
B311,311,23,T,+,add,B311.VP1_VMM62_E,B311.VP1_VMM62,7
B311,311,23,U,+,add,B311.VP1_VMM64_E,B311.VP1_VMM64,7
