meter_id,building,meter_type
B201.VP1_VMM61,201,real
B203.VP1_VMM61,203,real
B207.VP1_VMM61,207,real
B216.VP1_VMM61,216,real
B217.VP1_VMM61,217,real
B301.VP2_VMM61,301,real
B301.VP2_VMM62,301,real
B302.VP2_VMM61,302,real
B302.VP2_VMM62,302,real
B303.VP2_VMM61,303,real
B304.VP2_VMM61,304,real
B304.VP2_VMM62,304,real
B305.VP2_VMM61,305,real
B307.VS1_VMM61,307,real
B308.VS1_VMM61,308,real
B327.VS1_VMM61,327,real
B310.VP2_VMM61,310,real
B310.VP1_VMM61,310,real
B310.VS2_VMM61,310,real
B310.VS2_VMM62,310,real
B312.VP2_VMM61,312,real
B385.VP2_VMM62,,real
B341.VS1_VMM61,341,real
B311.VP1_VMM62,311,real
B311.VP1_VMM65,311,real
B311.VS2_VMM61,311,real
B317.VP1_VMM63,317,real
B317.VP1_VMM61,317,real
B313.VS1_VMM61,313,real
B313.VP1_VMM62,313,real
B311.VP1_VMM64,311,real
B385.VP2_VMM61,385,real
B312.VP2_VMM62,312,real
B317.VP1_VMM62,317,real
B381.VP1_VMM61,381,real
B314.VP1_VMM61,314,real
B315.VP1_VMM61,315,real
B318.VP1_VMM61,318,real
B319.VP1_VMM61,319,real
B325.VP1_VMM61,325,real
B326.VS1_VMM61,326,real
B330.VS1_VMM61,330,real
B334.VS1_VMM61,334,real
B337.VS12_VMM61,337,real
B337.VP12_VMM61,337,real
B339.VS1_VMM61,339,real
BB201.VARME_BUILDING,B201,virtual
BB203.VARME_BUILDING,B203,virtual
BB207.VARME_BUILDING,B207,virtual
BB216.VARME_BUILDING,B216,virtual
BB217.VARME_BUILDING,B217,virtual
BB301.VARME_BUILDING,B301,virtual
BB302.VARME_BUILDING,B302,virtual
BB303.VARME_BUILDING,B303,virtual
BB304.VARME_BUILDING,B304,virtual
BB305.VARME_BUILDING,B305,virtual
BB307.VARME_BUILDING,B307,virtual
BB308.VARME_BUILDING,B308,virtual
BB310.VARME_BUILDING,B310,virtual
BB311.VARME_BUILDING,B311,virtual
BB312.VARME_BUILDING,B312,virtual
BB313.VARME_BUILDING,B313,virtual
BB314.VARME_BUILDING,B314,virtual
BB315.VARME_BUILDING,B315,virtual
BB317.VARME_BUILDING,B317,virtual
BB318.VARME_BUILDING,B318,virtual
BB319.VARME_BUILDING,B319,virtual
BB325.VARME_BUILDING,B325,virtual
BB326.VARME_BUILDING,B326,virtual
BB327.VARME_BUILDING,B327,virtual
BB330.VARME_BUILDING,B330,virtual
BB334.VARME_BUILDING,B334,virtual
BB337.VARME_BUILDING,B337,virtual
BB339.VARME_BUILDING,B339,virtual
BB341.VARME_BUILDING,B341,virtual
BB381.VARME_BUILDING,B381,virtual
BB385.VARME_BUILDING,B385,virtual
