from_meter,to_meter,coefficient,derived_from
B201.VP1_VMM61,BB201.VARME_BUILDING,1.0,building_virtual_BB201
B203.VP1_VMM61,BB203.VARME_BUILDING,1.0,building_virtual_BB203
B207.VP1_VMM61,BB207.VARME_BUILDING,1.0,building_virtual_BB207
B216.VP1_VMM61,BB216.VARME_BUILDING,1.0,building_virtual_BB216
B217.VP1_VMM61,BB217.VARME_BUILDING,1.0,building_virtual_BB217
B301.VP2_VMM61,BB301.VARME_BUILDING,1.0,building_virtual_BB301
B301.VP2_VMM62,BB301.VARME_BUILDING,1.0,building_virtual_BB301
B302.VP2_VMM61,BB302.VARME_BUILDING,1.0,building_virtual_BB302
B302.VP2_VMM62,BB302.VARME_BUILDING,1.0,building_virtual_BB302
B303.VP2_VMM61,BB303.VARME_BUILDING,1.0,building_virtual_BB303
B304.VP2_VMM61,BB304.VARME_BUILDING,1.0,building_virtual_BB304
B304.VP2_VMM62,BB304.VARME_BUILDING,1.0,building_virtual_BB304
B305.VP2_VMM61,BB305.VARME_BUILDING,1.0,building_virtual_BB305
B307.VS1_VMM61,BB307.VARME_BUILDING,1.0,building_virtual_BB307
B308.VS1_VMM61,B307.VS1_VMM61,1.0,excel_formula_B308
B308.VS1_VMM61,B327.VS1_VMM61,1.0,excel_formula_B308
B308.VS1_VMM61,BB308.VARME_BUILDING,1.0,building_virtual_BB308
B310.VP1_VMM61,BB310.VARME_BUILDING,1.0,building_virtual_BB310
B310.VP2_VMM61,B301.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B301.VP2_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B302.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B302.VP2_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B303.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B304.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B304.VP2_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B305.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B311.VP1_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B311.VP1_VMM64,1.0,excel_formula_B310
B310.VP2_VMM61,B311.VP1_VMM65,1.0,excel_formula_B310
B310.VP2_VMM61,B311.VS2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B312.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B312.VP2_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B313.VP1_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B313.VS1_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B317.VP1_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B317.VP1_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,B317.VP1_VMM63,1.0,excel_formula_B310
B310.VP2_VMM61,B341.VS1_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B385.VP2_VMM61,1.0,excel_formula_B310
B310.VP2_VMM61,B385.VP2_VMM62,1.0,excel_formula_B310
B310.VP2_VMM61,BB310.VARME_BUILDING,1.0,building_virtual_BB310
B310.VS2_VMM61,BB310.VARME_BUILDING,1.0,building_virtual_BB310
B310.VS2_VMM62,BB310.VARME_BUILDING,1.0,building_virtual_BB310
B311.VP1_VMM62,BB311.VARME_BUILDING,1.0,building_virtual_BB311
B311.VP1_VMM64,BB311.VARME_BUILDING,1.0,building_virtual_BB311
B311.VP1_VMM65,B310.VS2_VMM61,1.0,excel_formula_B311
B311.VP1_VMM65,B310.VS2_VMM62,1.0,excel_formula_B311
B311.VP1_VMM65,B381.VP1_VMM61,1.0,excel_formula_B311
B311.VP1_VMM65,BB311.VARME_BUILDING,1.0,building_virtual_BB311
B311.VS2_VMM61,BB311.VARME_BUILDING,1.0,building_virtual_BB311
B312.VP2_VMM61,BB312.VARME_BUILDING,1.0,building_virtual_BB312
B312.VP2_VMM62,BB312.VARME_BUILDING,1.0,building_virtual_BB312
B313.VP1_VMM62,BB313.VARME_BUILDING,1.0,building_virtual_BB313
B313.VS1_VMM61,B314.VP1_VMM61,1.0,excel_formula_B313
B313.VS1_VMM61,BB313.VARME_BUILDING,1.0,building_virtual_BB313
B314.VP1_VMM61,B315.VP1_VMM61,1.0,excel_formula_B314
B314.VP1_VMM61,BB314.VARME_BUILDING,1.0,building_virtual_BB314
B315.VP1_VMM61,BB315.VARME_BUILDING,1.0,building_virtual_BB315
B317.VP1_VMM61,BB317.VARME_BUILDING,1.0,building_virtual_BB317
B317.VP1_VMM62,BB317.VARME_BUILDING,1.0,building_virtual_BB317
B317.VP1_VMM63,BB317.VARME_BUILDING,1.0,building_virtual_BB317
B318.VP1_VMM61,B319.VP1_VMM61,1.0,excel_formula_B318
B318.VP1_VMM61,BB318.VARME_BUILDING,1.0,building_virtual_BB318
B319.VP1_VMM61,BB319.VARME_BUILDING,1.0,building_virtual_BB319
B325.VP1_VMM61,BB325.VARME_BUILDING,1.0,building_virtual_BB325
B326.VS1_VMM61,BB326.VARME_BUILDING,1.0,building_virtual_BB326
B326.VS1_VMM61,BB327.VARME_BUILDING,1.0,building_virtual_BB327
B327.VS1_VMM61,BB327.VARME_BUILDING,1.0,building_virtual_BB327
B330.VS1_VMM61,BB330.VARME_BUILDING,1.0,building_virtual_BB330
B334.VS1_VMM61,BB334.VARME_BUILDING,1.0,building_virtual_BB334
B337.VP12_VMM61,BB337.VARME_BUILDING,1.0,building_virtual_BB337
B337.VS12_VMM61,BB337.VARME_BUILDING,1.0,building_virtual_BB337
B339.VS1_VMM61,BB339.VARME_BUILDING,1.0,building_virtual_BB339
B341.VS1_VMM61,BB341.VARME_BUILDING,1.0,building_virtual_BB341
B381.VP1_VMM61,BB381.VARME_BUILDING,1.0,building_virtual_BB381
B385.VP2_VMM61,BB385.VARME_BUILDING,1.0,building_virtual_BB385
BB308.VARME_BUILDING,B307.VS1_VMM61,1.0,building_virtual_BB308
BB308.VARME_BUILDING,B327.VS1_VMM61,1.0,building_virtual_BB308
BB310.VARME_BUILDING,B301.VP2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B301.VP2_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B302.VP2_VMM61,1.0,building_virtual_BB310
