building_id,name,campus_id,identifier
B201,Building 201,SNV,
B203,Building 203,SNV,
B207,Building 207,SNV,
B216,Building 216,SNV,
B217,Building 217,SNV,
B301,Building 301,SNV,
B302,Building 302,SNV,
B303,Building 303,SNV,
B304,Building 304,SNV,
B305,Building 305,SNV,
B307,Building 307,SNV,
B308,Building 308,SNV,
B310,Building 310,SNV,
B311,Building 311,SNV,
B312,Building 312,SNV,
B313,Building 313,SNV,
B314,Building 314,SNV,
B315,Building 315,SNV,
B317,Building 317,SNV,
B318,Building 318,SNV,
B319,Building 319,SNV,
B325,Building 325,SNV,
B326,Building 326,SNV,
B327,Building 327,SNV,
B330,Building 330,SNV,
B334,Building 334,SNV,
B337,Building 337,SNV,
B339,Building 339,SNV,
B341,Building 341,SNV,
B381,Building 381,SNV,
B385,Building 385,SNV,
BB201,Building B201,SNV,
BB203,Building B203,SNV,
BB207,Building B207,SNV,
BB216,Building B216,SNV,
BB217,Building B217,SNV,
BB301,Building B301,SNV,
BB302,Building B302,SNV,
BB303,Building B303,SNV,
BB304,Building B304,SNV,
BB305,Building B305,SNV,
BB307,Building B307,SNV,
BB308,Building B308,SNV,
BB310,Building B310,SNV,
BB311,Building B311,SNV,
BB312,Building B312,SNV,
BB313,Building B313,SNV,
BB314,Building B314,SNV,
BB315,Building B315,SNV,
BB317,Building B317,SNV,
BB318,Building B318,SNV,
BB319,Building B319,SNV,
BB325,Building B325,SNV,
BB326,Building B326,SNV,
BB327,Building B327,SNV,
BB330,Building B330,SNV,
BB334,Building B334,SNV,
BB337,Building B337,SNV,
BB339,Building B339,SNV,
BB341,Building B341,SNV,
BB381,Building B381,SNV,
BB385,Building B385,SNV,
