building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B201,8,S,+,add,B201.VP1_VMM61,B201.VP1_VMM61_E,,5,excel_Värme
B203,9,S,+,add,B203.VP1_VMM61,B203.VP1_VMM61_E,,5,excel_Värme
B207,10,S,+,add,B207.VP1_VMM61,B207.VP1_VMM61,,5,excel_Värme
B216,11,S,+,add,B216.VP1_VMM61,B216.VP1_VMM61,,5,excel_Värme
B217,12,S,+,add,B217.VP1_VMM61,B217.VP1_VMM61_E,,5,excel_Värme
B301,14,S,+,add,B301.VP2_VMM61,B301.VP2_VMM61_E,,5,excel_Värme
B301,14,T,+,add,B301.VP2_VMM62,B301.VP2_VMM62_E,,5,excel_Värme
B302,15,S,+,add,B302.VP2_VMM61,B302.VP2_VMM61_E,,5,excel_Värme
B302,15,T,+,add,B302.VP2_VMM62,B302.VP2_VMM62_E,,5,excel_Värme
B303,16,S,+,add,B303.VP2_VMM61,B303.VP2_VMM61_E,,5,excel_Värme
B304,17,S,+,add,B304.VP2_VMM61,B304.VP2_VMM61_E,,5,excel_Värme
B304,17,T,+,add,B304.VP2_VMM62,B304.VP2_VMM62_E,,5,excel_Värme
B305,18,S,+,add,B305.VP2_VMM61,B305.VP2_VMM61_E,,5,excel_Värme
B307,19,S,+,add,B307.VS1_VMM61,B307.VS1_VMM61,,5,excel_Värme
B308,20,S,+,add,B308.VS1_VMM61,B308.VS1_VMM61_E,,5,excel_Värme
B308,20,T,−,sub,B327.VS1_VMM61,B327.VS1_VMM61,,5,excel_Värme
B308,20,U,−,sub,B307.VS1_VMM61,B307.VS1_VMM61,,5,excel_Värme
B310,22,S,+,add,B310.VP2_VMM61,B310.VP2_VMM61_E,,27,excel_Värme
B310,22,T,+,add,B310.VP1_VMM61,B310.VP1_VMM61_E,,27,excel_Värme
B310,22,U,+,add,B310.VS2_VMM61,B310.VS2_VMM61_E,,27,excel_Värme
B310,22,V,+,add,B310.VS2_VMM62,B310.VS2_VMM62_E,,27,excel_Värme
B310,22,W,−,sub,B312.VP2_VMM61,B312.VP2_VMM61_E,,27,excel_Värme
B310,22,X,−,sub,B305.VP2_VMM61,B305.VP2_VMM61_E,,27,excel_Värme
B310,22,Y,−,sub,B302.VP2_VMM62,B302.VP2_VMM62_E,,27,excel_Värme
B310,22,Z,−,sub,B385.VP2_VMM62,B385.VP2_VMM62_E,,27,excel_Värme
B310,22,AA,−,sub,B341.VS1_VMM61,B341.VS1_VMM61_E,,27,excel_Värme
B310,22,AB,−,sub,B303.VP2_VMM61,B303.VP2_VMM61_E,,27,excel_Värme
B310,22,AC,−,sub,B304.VP2_VMM62,B304.VP2_VMM62_E,,27,excel_Värme
B310,22,AD,−,sub,B304.VP2_VMM61,B304.VP2_VMM61_E,,27,excel_Värme
B310,22,AE,−,sub,B301.VP2_VMM61,B301.VP2_VMM61_E,,27,excel_Värme
B310,22,AF,−,sub,B302.VP2_VMM61,B302.VP2_VMM61_E,,27,excel_Värme
B310,22,AG,−,sub,B301.VP2_VMM62,B301.VP2_VMM62_E,,27,excel_Värme
B310,22,AH,−,sub,B311.VP1_VMM62,B311.VP1_VMM62_E,,27,excel_Värme
B310,22,AI,−,sub,B311.VP1_VMM65,B311.VP1_VMM65_E,,27,excel_Värme
B310,22,AJ,−,sub,B311.VS2_VMM61,B311.VS2_VMM61_E,,27,excel_Värme
B310,22,AK,−,sub,B317.VP1_VMM63,B317.VP1_VMM63_E,,27,excel_Värme
B310,22,AL,−,sub,B317.VP1_VMM61,B317.VP1_VMM61_E,,27,excel_Värme
B310,22,AM,−,sub,B313.VS1_VMM61,B313.VS1_VMM61,,27,excel_Värme
B310,22,AN,−,sub,B313.VP1_VMM62,B313.VP1_VMM62_E,,27,excel_Värme
B310,22,AO,−,sub,B311.VP1_VMM64,B311.VP1_VMM64_E,,27,excel_Värme
B310,22,AP,−,sub,B385.VP2_VMM61,B385.VP2_VMM61_E,,27,excel_Värme
B310,22,AQ,−,sub,B312.VP2_VMM62,B312.VP2_VMM62_E,,27,excel_Värme
B310,22,AR,−,sub,B317.VP1_VMM62,B317.VP1_VMM62_E,,27,excel_Värme
B311,23,S,+,add,B311.VP1_VMM65,B311.VP1_VMM65_E,,7,excel_Värme
B311,23,T,+,add,B311.VP1_VMM62,B311.VP1_VMM62_E,,7,excel_Värme
B311,23,U,+,add,B311.VP1_VMM64,B311.VP1_VMM64_E,,7,excel_Värme
B311,23,V,+,add,B311.VS2_VMM61,B311.VS2_VMM61_E,,7,excel_Värme
B311,23,W,−,sub,B310.VS2_VMM61,B310.VS2_VMM61_E,,7,excel_Värme
B311,23,X,−,sub,B310.VS2_VMM62,B310.VS2_VMM62_E,,7,excel_Värme
B311,23,Y,−,sub,B381.VP1_VMM61,B381.VP1_VMM61_E,,7,excel_Värme
B312,24,S,+,add,B312.VP2_VMM61,B312.VP2_VMM61_E,,5,excel_Värme
B312,24,T,+,add,B312.VP2_VMM62,B312.VP2_VMM62_E,,5,excel_Värme
B313,25,S,+,add,B313.VS1_VMM61,B313.VS1_VMM61,,5,excel_Värme
B313,25,T,+,add,B313.VP1_VMM62,B313.VP1_VMM62_E,,5,excel_Värme
B313,25,U,−,sub,B314.VP1_VMM61,B314.VP1_VMM61_E,,5,excel_Värme
B314,26,S,+,add,B314.VP1_VMM61,B314.VP1_VMM61_E,,5,excel_Värme
B314,26,T,−,sub,B315.VP1_VMM61,B315.VP1_VMM61_E,,5,excel_Värme
B315,27,S,+,add,B315.VP1_VMM61,B315.VP1_VMM61_E,,5,excel_Värme
B317,29,S,+,add,B317.VP1_VMM61,B317.VP1_VMM61_E,,5,excel_Värme
B317,29,T,+,add,B317.VP1_VMM62,B317.VP1_VMM62_E,,5,excel_Värme
B317,29,U,+,add,B317.VP1_VMM63,B317.VP1_VMM63_E,,5,excel_Värme
B318,30,S,+,add,B318.VP1_VMM61,B318.VP1_VMM61_E,,5,excel_Värme
B318,30,T,−,sub,B319.VP1_VMM61,B319.VP1_VMM61,,5,excel_Värme
B319,31,S,+,add,B319.VP1_VMM61,B319.VP1_VMM61,,5,excel_Värme
B325,36,S,+,add,B325.VP1_VMM61,B325.VP1_VMM61,,5,excel_Värme
B326,37,S,+,add,B326.VS1_VMM61,B326.VS1_VMM61,,5,excel_Värme
B327,38,S,+,add,B327.VS1_VMM61,B327.VS1_VMM61,,5,excel_Värme
B327,38,T,−,sub,B326.VS1_VMM61,B326.VS1_VMM61,,5,excel_Värme
B330,40,S,+,add,B330.VS1_VMM61,B330.VS1_VMM61_E,,5,excel_Värme
B334,41,S,+,add,B334.VS1_VMM61,B334.VS1_VMM61_E,,5,excel_Värme
