parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B308.VS1_VMM61,B307.VS1_VMM61,hasSubMeter,,,,excel_formula_B308
B308.VS1_VMM61,B327.VS1_VMM61,hasSubMeter,,,,excel_formula_B308
B310.VP2_VMM61,B301.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B301.VP2_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B302.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B302.VP2_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B303.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B304.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B304.VP2_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B305.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B311.VP1_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B311.VP1_VMM64,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B311.VP1_VMM65,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B311.VS2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B312.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B312.VP2_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B313.VP1_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B313.VS1_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B317.VP1_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B317.VP1_VMM62,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B317.VP1_VMM63,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B341.VS1_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B385.VP2_VMM61,hasSubMeter,,,,excel_formula_B310
B310.VP2_VMM61,B385.VP2_VMM62,hasSubMeter,,,,excel_formula_B310
B311.VP1_VMM65,B310.VS2_VMM61,hasSubMeter,,,,excel_formula_B311
B311.VP1_VMM65,B310.VS2_VMM62,hasSubMeter,,,,excel_formula_B311
B311.VP1_VMM65,B381.VP1_VMM61,hasSubMeter,,,,excel_formula_B311
B313.VS1_VMM61,B314.VP1_VMM61,hasSubMeter,,,,excel_formula_B313
B314.VP1_VMM61,B315.VP1_VMM61,hasSubMeter,,,,excel_formula_B314
B318.VP1_VMM61,B319.VP1_VMM61,hasSubMeter,,,,excel_formula_B318
B203.FV1_MQ4_E,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B216.FV1_VMM61_E,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B308.FV1_VMM61_E,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B310.FV1_VMM61,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B310.FV1_VMM62,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B310.FV1_VMM63,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B310.FV1_VMM64,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B318.FV1_VMM80,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B330.FV1_INT_VERK_E,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B334.VP1_VMM1_E,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
B339.FV1_VMM61_E,SNV.VARME_INTAKE,feeds,1.0,,,kontroll_fv_matare
SNV.VARME_INTAKE,B201.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B203.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B207.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B216.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B217.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B308.VS1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B310.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B310.VP2_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B318.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B325.VP1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B326.VS1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B330.VS1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B334.VS1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B337.VP12_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B337.VS12_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
SNV.VARME_INTAKE,B339.VS1_VMM61,hasSubMeter,,,,snv_varme_intake_fanout
