meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B201.VP1_VMM61,201 VARME meter VP1_VMM61,B201,VARME,False,snowflake=B201.VP1_VMM61_E; strux=B201.VP1_VMM61_E,,
B203.VP1_VMM61,203 VARME meter VP1_VMM61,B203,VARME,False,snowflake=B203.VP1_VMM61_E; strux=B203.VP1_VMM61_E,,2025-01-01
B207.VP1_VMM61,207 VARME meter VP1_VMM61,B207,VARME,False,snowflake=B207.VP1_VMM61; strux=B207.VP1_VMM61,,
B216.VP1_VMM61,216 VARME meter VP1_VMM61,B216,VARME,False,snowflake=B216.VP1_VMM61; strux=B216.VP1_VMM61,,
B217.VP1_VMM61,217 VARME meter VP1_VMM61,B217,VARME,False,snowflake=B217.VP1_VMM61_E; strux=B217.VP1_VMM61_E,2025-07-15,
B301.VP2_VMM61,301 VARME meter VP2_VMM61,B301,VARME,False,snowflake=B301.VP2_VMM61_E; strux=B301.VP2_VMM61_E,,
B301.VP2_VMM62,301 VARME meter VP2_VMM62,B301,VARME,False,snowflake=B301.VP2_VMM62_E; strux=B301.VP2_VMM62_E,,
B302.VP2_VMM61,302 VARME meter VP2_VMM61,B302,VARME,False,snowflake=B302.VP2_VMM61_E; strux=B302.VP2_VMM61_E,,
B302.VP2_VMM62,302 VARME meter VP2_VMM62,B302,VARME,False,snowflake=B302.VP2_VMM62_E; strux=B302.VP2_VMM62_E,,
B303.VP2_VMM61,303 VARME meter VP2_VMM61,B303,VARME,False,snowflake=B303.VP2_VMM61_E; strux=B303.VP2_VMM61_E,,
B304.VP2_VMM61,304 VARME meter VP2_VMM61,B304,VARME,False,snowflake=B304.VP2_VMM61_E; strux=B304.VP2_VMM61_E,,
B304.VP2_VMM62,304 VARME meter VP2_VMM62,B304,VARME,False,snowflake=B304.VP2_VMM62_E; strux=B304.VP2_VMM62_E,,
B305.VP2_VMM61,305 VARME meter VP2_VMM61,B305,VARME,False,snowflake=B305.VP2_VMM61_E; strux=B305.VP2_VMM61_E,,
B307.VS1_VMM61,307 VARME meter VS1_VMM61,B307,VARME,False,snowflake=B307.VS1_VMM61; strux=B307.VS1_VMM61,,
B308.VS1_VMM61,308 VARME meter VS1_VMM61,B308,VARME,False,snowflake=B308.VS1_VMM61_E; strux=B308.VS1_VMM61_E,,
B327.VS1_VMM61,327 VARME meter VS1_VMM61,B327,VARME,False,snowflake=B327.VS1_VMM61; strux=B327.VS1_VMM61,,
B310.VP2_VMM61,310 VARME meter VP2_VMM61,B310,VARME,False,snowflake=B310.VP2_VMM61_E; strux=B310.VP2_VMM61_E,,
B310.VP1_VMM61,310 VARME meter VP1_VMM61,B310,VARME,False,snowflake=B310.VP1_VMM61_E; strux=B310.VP1_VMM61_E,,
B310.VS2_VMM61,310 VARME meter VS2_VMM61,B310,VARME,False,snowflake=B310.VS2_VMM61_E; strux=B310.VS2_VMM61_E,,
B310.VS2_VMM62,310 VARME meter VS2_VMM62,B310,VARME,False,snowflake=B310.VS2_VMM62_E; strux=B310.VS2_VMM62_E,,
B312.VP2_VMM61,312 VARME meter VP2_VMM61,B312,VARME,False,snowflake=B312.VP2_VMM61_E; strux=B312.VP2_VMM61_E,,
B385.VP2_VMM62, VARME meter VP2_VMM62,,VARME,False,snowflake=B385.VP2_VMM62_E; strux=B385.VP2_VMM62_E,,
B341.VS1_VMM61,341 VARME meter VS1_VMM61,B341,VARME,False,snowflake=B341.VS1_VMM61_E; strux=B341.VS1_VMM61_E,,
B311.VP1_VMM62,311 VARME meter VP1_VMM62,B311,VARME,False,snowflake=B311.VP1_VMM62_E; strux=B311.VP1_VMM62_E,,
B311.VP1_VMM65,311 VARME meter VP1_VMM65,B311,VARME,False,snowflake=B311.VP1_VMM65_E; strux=B311.VP1_VMM65_E,,
B311.VS2_VMM61,311 VARME meter VS2_VMM61,B311,VARME,False,snowflake=B311.VS2_VMM61_E; strux=B311.VS2_VMM61_E,,
B317.VP1_VMM63,317 VARME meter VP1_VMM63,B317,VARME,False,snowflake=B317.VP1_VMM63_E; strux=B317.VP1_VMM63_E,,
B317.VP1_VMM61,317 VARME meter VP1_VMM61,B317,VARME,False,snowflake=B317.VP1_VMM61_E; strux=B317.VP1_VMM61_E,,
B313.VS1_VMM61,313 VARME meter VS1_VMM61,B313,VARME,False,snowflake=B313.VS1_VMM61; strux=B313.VS1_VMM61,,
B313.VP1_VMM62,313 VARME meter VP1_VMM62,B313,VARME,False,snowflake=B313.VP1_VMM62_E; strux=B313.VP1_VMM62_E,,
B311.VP1_VMM64,311 VARME meter VP1_VMM64,B311,VARME,False,snowflake=B311.VP1_VMM64_E; strux=B311.VP1_VMM64_E,,
B385.VP2_VMM61,385 VARME meter VP2_VMM61,B385,VARME,False,snowflake=B385.VP2_VMM61_E; strux=B385.VP2_VMM61_E,,
B312.VP2_VMM62,312 VARME meter VP2_VMM62,B312,VARME,False,snowflake=B312.VP2_VMM62_E; strux=B312.VP2_VMM62_E,,
B317.VP1_VMM62,317 VARME meter VP1_VMM62,B317,VARME,False,snowflake=B317.VP1_VMM62_E; strux=B317.VP1_VMM62_E,,
B381.VP1_VMM61,381 VARME meter VP1_VMM61,B381,VARME,False,snowflake=B381.VP1_VMM61_E; strux=B381.VP1_VMM61_E,,
B314.VP1_VMM61,314 VARME meter VP1_VMM61,B314,VARME,False,snowflake=B314.VP1_VMM61_E; strux=B314.VP1_VMM61_E,,
B315.VP1_VMM61,315 VARME meter VP1_VMM61,B315,VARME,False,snowflake=B315.VP1_VMM61_E; strux=B315.VP1_VMM61_E,,
B318.VP1_VMM61,318 VARME meter VP1_VMM61,B318,VARME,False,snowflake=B318.VP1_VMM61_E; strux=B318.VP1_VMM61_E,,
B319.VP1_VMM61,319 VARME meter VP1_VMM61,B319,VARME,False,snowflake=B319.VP1_VMM61; strux=B319.VP1_VMM61,,
B325.VP1_VMM61,325 VARME meter VP1_VMM61,B325,VARME,False,snowflake=B325.VP1_VMM61; strux=B325.VP1_VMM61,,
B326.VS1_VMM61,326 VARME meter VS1_VMM61,B326,VARME,False,snowflake=B326.VS1_VMM61; strux=B326.VS1_VMM61,,
B330.VS1_VMM61,330 VARME meter VS1_VMM61,B330,VARME,False,snowflake=B330.VS1_VMM61_E; strux=B330.VS1_VMM61_E,,
B334.VS1_VMM61,334 VARME meter VS1_VMM61,B334,VARME,False,snowflake=B334.VS1_VMM61_E; strux=B334.VS1_VMM61_E,,
B337.VS12_VMM61,337 VARME meter VS12_VMM61,B337,VARME,False,snowflake=B337.VS12_VMM61_E; strux=B337.VS12_VMM61_E,,
B337.VP12_VMM61,337 VARME meter VP12_VMM61,B337,VARME,False,snowflake=B337.VP12_VMM61_E; strux=B337.VP12_VMM61_E,,
B339.VS1_VMM61,339 VARME meter VS1_VMM61,B339,VARME,False,snowflake=B339.VS1_VMM61_E; strux=B339.VS1_VMM61_E,,
