sensor_id,meter_id,point_type,unit,identifier
B201.VP1_VMM61.energy,B201.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B203.VP1_VMM61.energy,B203.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B207.VP1_VMM61.energy,B207.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B216.VP1_VMM61.energy,B216.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B217.VP1_VMM61.energy,B217.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B301.VP2_VMM61.energy,B301.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B301.VP2_VMM62.energy,B301.VP2_VMM62,Energy_Sensor,Megawatt-Hour,
B302.VP2_VMM61.energy,B302.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B302.VP2_VMM62.energy,B302.VP2_VMM62,Energy_Sensor,Megawatt-Hour,
B303.VP2_VMM61.energy,B303.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B304.VP2_VMM61.energy,B304.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B304.VP2_VMM62.energy,B304.VP2_VMM62,Energy_Sensor,Megawatt-Hour,
B305.VP2_VMM61.energy,B305.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B307.VS1_VMM61.energy,B307.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B308.VS1_VMM61.energy,B308.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B327.VS1_VMM61.energy,B327.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B310.VP2_VMM61.energy,B310.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B310.VP1_VMM61.energy,B310.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B310.VS2_VMM61.energy,B310.VS2_VMM61,Energy_Sensor,Megawatt-Hour,
B310.VS2_VMM62.energy,B310.VS2_VMM62,Energy_Sensor,Megawatt-Hour,
B312.VP2_VMM61.energy,B312.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B385.VP2_VMM62.energy,B385.VP2_VMM62,Energy_Sensor,Megawatt-Hour,
B341.VS1_VMM61.energy,B341.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B311.VP1_VMM62.energy,B311.VP1_VMM62,Energy_Sensor,Megawatt-Hour,
B311.VP1_VMM65.energy,B311.VP1_VMM65,Energy_Sensor,Megawatt-Hour,
B311.VS2_VMM61.energy,B311.VS2_VMM61,Energy_Sensor,Megawatt-Hour,
B317.VP1_VMM63.energy,B317.VP1_VMM63,Energy_Sensor,Megawatt-Hour,
B317.VP1_VMM61.energy,B317.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B313.VS1_VMM61.energy,B313.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B313.VP1_VMM62.energy,B313.VP1_VMM62,Energy_Sensor,Megawatt-Hour,
B311.VP1_VMM64.energy,B311.VP1_VMM64,Energy_Sensor,Megawatt-Hour,
B385.VP2_VMM61.energy,B385.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B312.VP2_VMM62.energy,B312.VP2_VMM62,Energy_Sensor,Megawatt-Hour,
B317.VP1_VMM62.energy,B317.VP1_VMM62,Energy_Sensor,Megawatt-Hour,
B381.VP1_VMM61.energy,B381.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B314.VP1_VMM61.energy,B314.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B315.VP1_VMM61.energy,B315.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B318.VP1_VMM61.energy,B318.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B319.VP1_VMM61.energy,B319.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B325.VP1_VMM61.energy,B325.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B326.VS1_VMM61.energy,B326.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B330.VS1_VMM61.energy,B330.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B334.VS1_VMM61.energy,B334.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B337.VS12_VMM61.energy,B337.VS12_VMM61,Energy_Sensor,Megawatt-Hour,
B337.VP12_VMM61.energy,B337.VP12_VMM61,Energy_Sensor,Megawatt-Hour,
B339.VS1_VMM61.energy,B339.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
