timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B201.VP1_VMM61:d.A,B201.VP1_VMM61.energy,daily,counter,raw,False,,2025-08-05,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B201.VP1_VMM61_E,,,
B201.VP1_VMM61:d.B,B201.VP1_VMM61.energy,daily,counter,raw,False,2025-08-05,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B201.VP1_VMM61_E,,,
B201.VP1_VMM61:d,B201.VP1_VMM61.energy,daily,counter,derived,True,,,,,,,B201.VP1_VMM61:d.A|B201.VP1_VMM61:d.B,rolling_sum
B203.VP1_VMM61:d,B203.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B203.VP1_VMM61_E,,,
B207.VP1_VMM61:d,B207.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.VP1_VMM61,,,
B216.VP1_VMM61:d,B216.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B216.VP1_VMM61,,,
B217.VP1_VMM61:d.A,B217.VP1_VMM61.energy,daily,counter,raw,False,,2025-08-05,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B217.VP1_VMM61_E,,,
B217.VP1_VMM61:d.B,B217.VP1_VMM61.energy,daily,counter,raw,False,2025-10-04,2025-10-09,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B217.VP1_VMM61_E,,,
B217.VP1_VMM61:d.C,B217.VP1_VMM61.energy,daily,counter,raw,False,2025-10-09,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B217.VP1_VMM61_E,,,
B217.VP1_VMM61:d,B217.VP1_VMM61.energy,daily,counter,derived,True,2025-10-09,,,,,,B217.VP1_VMM61:d.C,slice
B301.VP2_VMM61:d,B301.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B301.VP2_VMM61_E,,,
B301.VP2_VMM62:d,B301.VP2_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B301.VP2_VMM62_E,,,
B302.VP2_VMM61:d,B302.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.VP2_VMM61_E,,,
B302.VP2_VMM62:d,B302.VP2_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.VP2_VMM62_E,,,
B303.VP2_VMM61:d,B303.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B303.VP2_VMM61_E,,,
B304.VP2_VMM61:d,B304.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B304.VP2_VMM61_E,,,
B304.VP2_VMM62:d,B304.VP2_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B304.VP2_VMM62_E,,,
B305.VP2_VMM61:d,B305.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B305.VP2_VMM61_E,,,
B307.VS1_VMM61:d,B307.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.VS1_VMM61,,,
B308.VS1_VMM61:d,B308.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.VS1_VMM61_E,,,
B327.VS1_VMM61:d,B327.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B327.VS1_VMM61,,,
B310.VP2_VMM61:d.raw,B310.VP2_VMM61.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B310.VP2_VMM61_E,,,
B310.VP2_VMM61:d.A,B310.VP2_VMM61.energy,daily,counter,derived,False,,2025-09-20,,,,,B310.VP2_VMM61:d.raw,slice
B310.VP2_VMM61:d.patch,B310.VP2_VMM61.energy,daily,counter,derived,False,2025-09-20,2026-01-14,,,,,B310.VP2_VMM61:d.raw,interpolate
B310.VP2_VMM61:d.B,B310.VP2_VMM61.energy,daily,counter,derived,False,2026-01-14,,,,,,B310.VP2_VMM61:d.raw,slice
B310.VP2_VMM61:d,B310.VP2_VMM61.energy,daily,counter,derived,True,,,,,,,B310.VP2_VMM61:d.A|B310.VP2_VMM61:d.patch|B310.VP2_VMM61:d.B,rolling_sum
B310.VP1_VMM61:d,B310.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B310.VP1_VMM61_E,,,
B310.VS2_VMM61:d,B310.VS2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B310.VS2_VMM61_E,,,
B310.VS2_VMM62:d,B310.VS2_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B310.VS2_VMM62_E,,,
B312.VP2_VMM61:d,B312.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B312.VP2_VMM61_E,,,
B385.VP2_VMM62:d,B385.VP2_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B385.VP2_VMM62_E,,,
B341.VS1_VMM61:d.A,B341.VS1_VMM61.energy,daily,counter,raw,False,,2025-01-07,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B341.VS1_VMM61_E,,,
B341.VS1_VMM61:d.B,B341.VS1_VMM61.energy,daily,counter,raw,False,2025-01-07,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B341.VS1_VMM61_E,,,
B341.VS1_VMM61:d,B341.VS1_VMM61.energy,daily,counter,derived,True,,,,,,,B341.VS1_VMM61:d.A|B341.VS1_VMM61:d.B,rolling_sum
B311.VP1_VMM62:d,B311.VP1_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B311.VP1_VMM62_E,,,
B311.VP1_VMM65:d,B311.VP1_VMM65.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B311.VP1_VMM65_E,,,
B311.VS2_VMM61:d,B311.VS2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B311.VS2_VMM61_E,,,
B317.VP1_VMM63:d,B317.VP1_VMM63.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B317.VP1_VMM63_E,,,
B317.VP1_VMM61:d,B317.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B317.VP1_VMM61_E,,,
B313.VS1_VMM61:d,B313.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B313.VS1_VMM61,,,
B313.VP1_VMM62:d.raw,B313.VP1_VMM62.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B313.VP1_VMM62_E,,,
B313.VP1_VMM62:d.A,B313.VP1_VMM62.energy,daily,counter,derived,False,,2025-09-22,,,,,B313.VP1_VMM62:d.raw,slice
B313.VP1_VMM62:d.patch,B313.VP1_VMM62.energy,daily,counter,derived,False,2025-09-22,2026-01-14,,,,,B313.VP1_VMM62:d.raw,interpolate
B313.VP1_VMM62:d.B,B313.VP1_VMM62.energy,daily,counter,derived,False,2026-01-14,,,,,,B313.VP1_VMM62:d.raw,slice
B313.VP1_VMM62:d,B313.VP1_VMM62.energy,daily,counter,derived,True,,,,,,,B313.VP1_VMM62:d.A|B313.VP1_VMM62:d.patch|B313.VP1_VMM62:d.B,rolling_sum
B311.VP1_VMM64:d.raw,B311.VP1_VMM64.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B311.VP1_VMM64_E,,,
