ID,Name,Base,Unit,Phase,Type,Direction,Misc,Description
1,Frequency High,,,,,,,
2,Frequency Low,,,,,,,
3,Frequency Mean,,,,,,,
4,Current N High,,,,,,,
5,Current N Low,,,,,,,
6,Current N Mean,,,,,,,
7,Current Phase A High,,,,,,,
8,Current Phase A Low,,,,,,,
9,Current Phase A Mean,,,,,,,
10,Current Phase Average High,,,,,,,
11,Current Phase Average Low,,,,,,,
12,Current Phase Average Mean,,,,,,,
13,Current Phase Average Sliding Window Demand Delivered,,,,,,,
14,Current Phase B High,,,,,,,
15,Current Phase B Low,,,,,,,
16,Current Phase B Mean,,,,,,,
17,Current Phase C High,,,,,,,
18,Current Phase C Low,,,,,,,
19,Current Phase C Mean,,,,,,,
20,Current Unbalance Mean,,,,,,,
21,I1 Waveform,,,,,,,
22,Current K-Factor Phase A High,,,,,,,
23,Current K-Factor Phase A Mean,,,,,,,
24,Current Total Harmonic Distortion Phase A High,,,,,,,
25,Current Total Harmonic Distortion Phase A Mean,,,,,,,
26,I2 Waveform,,,,,,,
27,Current K-Factor Phase B High,,,,,,,
28,Current K-Factor Phase B Mean,,,,,,,
29,Current Total Harmonic Distortion Phase B High,,,,,,,
30,Current Total Harmonic Distortion Phase B Mean,,,,,,,
31,I3 Waveform,,,,,,,
32,Current K-Factor Phase C High,,,,,,,
33,Current K-Factor Phase C Mean,,,,,,,
34,Current Total Harmonic Distortion Phase C High,,,,,,,
35,Current Total Harmonic Distortion Phase C Mean,,,,,,,
36,I4 Waveform,,,,,,,
37,Apparent Power Sliding Window Demand Delivered+Received,,,,,,,
38,Apparent Power Sliding Window Demand Delivered Maximum Rate A,,,,,,,
39,Apparent Power Sliding Window Demand Delivered Maximum Rate B,,,,,,,
40,Apparent Power Sliding Window Demand Delivered Maximum Rate C,,,,,,,
41,Apparent Power Sliding Window Demand Delivered Maximum Rate D,,,,,,,
42,Apparent Power Sliding Window Demand Received Maximum Rate A,,,,,,,
43,Apparent Power Sliding Window Demand Received Maximum Rate B,,,,,,,
44,Apparent Power Sliding Window Demand Received Maximum Rate C,,,,,,,
