ID,Name,NamespaceID,SourceTypeID,TimeZoneID,Description,Signature,DisplayName
1,LOGINSERTER.SESOWABMSPD03,1,1,1,,n/a,LOGINSERTER.SESOWABMSPD03
2,VIP.DDD,1,2,1,,n/a,VIP.DDD
3,QUERYSERVER.SESOWABMSPD03,1,3,1,,n/a,QUERYSERVER.SESOWABMSPD03
4,VIP.DEFAULT,1,2,1,,n/a,VIP.DEFAULT
5,VIP.PQADVISOR,1,2,1,,n/a,VIP.PQADVISOR
6,B334.H14_1,1,4,1,,MZ-1812A095-01,B334.H14
7,B324.H4_1,1,4,1,,MZ-1812A093-01,B324.H4-1
8,B334.T87_1_1,1,5,1,,ME-1904C057-02,B334.T87
9,B334.T91_1_1,1,5,1,,ME-1904A032-02,B334.T91
10,B334.T89_1_1,1,5,1,,ME-1905A009-02,B334.T89
11,B334.T88_1_1,1,5,1,,ME-1904C047-02,B334.T88
12,B334.T92_1_1,1,5,1,,ME-1904C056-02,B334.T92
13,B660.H3_1,1,4,1,,MZ-1812A088-01,B660.H3-1
14,B334.T92_4_4,1,7,1,,18482030,B334.T92-4-4
15,B334.T87_5_3,1,7,1,,18482021,B334.T87-5-3
16,B334.T89_2_1,1,7,1,,19034001,B334.T89-2-1
17,B334.T88_2_2,1,7,1,,18425145,B334.T88-2-2
18,B334.T88_4_4,1,7,1,,18482004,B334.T88-4-4
19,B334.T87_4_1,1,7,1,,18482057,B334.T87-4-1
20,B334.T87_5_4,1,7,1,,18482049,B334.T87-5-4
21,B334.T89_4_1,1,7,1,,18482050,B334.T89-4-1
22,B334.T89_4_4,1,7,1,,18482053,B334.T89-4-4
23,B334.T88_4_2,1,7,1,,18482051,B334.T88-4-2
24,B334.T87_2_2,1,7,1,,19034071,B334.T87-2-2
25,B334.T87_5_2,1,7,1,,18482010,B334.T87-5-2
26,B334.T91_5_7,1,7,1,,18482002,B334.T91-5-7
27,B334.T91_2_2,1,7,1,,19034020,B334.T91-2-2
28,B334.T91_5_3,1,7,1,,18482020,B334.T91-5-3
29,B611.T1-S,1,5,1,,ME-1911C647-02,B611.T1
30,B611.T2-S,1,5,1,,ME-1911C648-02,B611.T2
31,B611.T3-S,1,5,1,,ME-1911C701-02,B611.T3
32,B611.T4-S,1,5,1,,ME-1911C615-02,B611.T4
33,B611.T41-S,1,5,1,,ME-1911C635-02,B611.T41
34,B612.T7-S,1,5,1,,ME-1911C700-02,B612.T7
35,B612.T8-S,1,5,1,,ME-1911C664-02,B612.T8
36,B612.T9-S,1,5,1,,ME-1911C787-02,B612.T9
37,B612.T48-S,1,5,1,,ME-1911C708-02,B612.T48
38,B615.T7-A2-257,1,7,1,,18461184,B615.T7-A2-257
39,B612.T7-B3-3,1,6,1,,,B612.T7-B3-3
40,B612.T7-B3-5,1,6,1,,,B612.T7-B3-5
41,B612.T7-B4,1,7,1,,18461227,B612.T7-B4
42,B612.T8-B5,1,7,1,,18461060,B612.T8-B5
43,B612.T8-B6,1,7,1,,18461020,B612.T8-B6
44,B612.T8-B7,1,7,1,,18461043,B612.T8-B7
45,B612.T8-B8,1,7,1,,18461014,B612.T8-B8
46,B612.T9-B1,1,7,1,,18461011,B612.T9-B1
47,B612.T9-B3,1,7,1,,18461128,B612.T9-B3
48,B611.T1-4-4,1,7,1,,18461221,B611.T1-4-4
49,B611.T1-4-5,1,7,1,,18461230,B611.T1-5-5
50,B611.T1-4-13,1,7,1,,18461200,B611.T4-C4
51,B611.T1-4-10,1,7,1,,18461222,B611.T3-B4
52,B611.T1-4-6,1,7,1,,18461223,B611.T2-5-3
53,B611.T1-4-11,1,7,1,,19397049,B611.T4-A3
54,B611.T1-4-12,1,7,1,,19397037,B611.T4-C1
55,B611.T1-4-9,1,7,1,,18461203,B611.T3-B1
56,B611.T1-4-8,1,7,1,,18461218,B611.T2-6-6
57,B611.T1-4-7,1,7,1,,18461214,B611.T2-5-4
58,B614.T18-S,1,5,1,,ME-1911C690-02,B614.T18
59,B614.T20-S,1,5,1,,ME-1911C697-02,B614.T20
60,B614.T19-S,1,5,1,,ME-1911C698-02,B614.T19
61,B614.T18-F1,1,7,1,,18461202,B614.T18-F1
62,B614.T19-D1,1,7,1,,18461210,B614.T19-D1
63,B614.T19-E3,1,7,1,,18461197,B614.T19-E3
64,B614.T19-E1,1,7,1,,18461164,B614.T19-E1
65,B614.T20-A1,1,7,1,,20102054,B614.T20-A1
66,B616.T31-S,1,5,1,,ME-1911C714-02,B616.T31
67,B616.T32-S,1,5,1,,ME-1911C739-02,B616.T32
68,B616.T33-S,1,5,1,,ME-1911C748-02,B616.T33
69,B616.T31-5-1,1,7,1,,18461235,B616.T31-5-1
